project,method,label,rubric10_total,rubric10_max,rubric10_percentage,rubric20_total,rubric20_max,rubric20_percentage
AI_READI,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep1,44,50,88.0,65,88,73.86363636363636
AI_READI,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep2,45,50,90.0,67,88,76.13636363636364
AI_READI,claudecode_agent,2026-07-31_claude-opus-5-generic-v2_rep1,44,50,88.0,63,88,71.5909090909091
AI_READI,claudecode_agent,2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,47,50,94.0,65,88,73.86363636363636
AI_READI,claudecode_agent,2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,36,50,72.0,55,88,62.5
AI_READI,claudecode_agent,2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3,47,50,94.0,61,88,69.31818181818183
AI_READI,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep1,46,50,92.0,68,88,77.27272727272727
AI_READI,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep2,48,50,96.0,72,88,81.81818181818183
AI_READI,claudecode_agent,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,47,50,94.0,72,88,81.81818181818183
AI_READI,claudecode_agent_core,2026-07-31_claude-opus-5-api-generic_rep1,41,50,82.0,63,88,71.5909090909091
AI_READI,claudecode_agent_core,2026-07-31_claude-opus-5-api-generic_rep2,42,50,84.0,63,88,71.5909090909091
AI_READI,claudecode_agent_core,2026-07-31_claude-opus-5-api-generic_rep3,42,50,84.0,65,88,73.86363636363636
AI_READI,claudecode_agent_core,2026-07-31_claude-opus-5-generic-v2_rep1,42,50,84.0,61,88,69.31818181818183
AI_READI,claudecode_agent_core,2026-07-31_claude-opus-5-generic-v2_rep2,41,50,82.0,61,88,69.31818181818183
AI_READI,claudecode_agent_core,2026-07-31_claude-opus-5-generic-v2_rep3,42,50,84.0,61,88,69.31818181818183
AI_READI,claudecode_agent_core,2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,42,50,84.0,63,88,71.5909090909091
AI_READI,claudecode_agent_core,2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,42,50,84.0,63,88,71.5909090909091
AI_READI,claudecode_agent_core,2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3,42,50,84.0,61,88,69.31818181818183
AI_READI,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep1,42,50,84.0,68,88,77.27272727272727
AI_READI,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep2,43,50,86.0,68,88,77.27272727272727
AI_READI,claudecode_agent_core,2026-08-07_claude-opus-5-claudecode-generic-v3_rep3,43,50,86.0,70,88,79.54545454545455
CHORUS,claudecode_agent,2026-07-29_claude-opus-5-api-generic_rep1,35,50,70.0,59,88,67.04545454545455
CHORUS,claudecode_agent,2026-07-31_canary_rep1,34,50,68.0,59,88,67.04545454545455
CHORUS,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep1,36,50,72.0,61,88,69.31818181818183
CHORUS,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep2,35,50,70.0,61,88,69.31818181818183
CHORUS,claudecode_agent,2026-07-31_claude-opus-5-api-generic_rep3,34,50,68.0,59,88,67.04545454545455
CHORUS,claudecode_agent,2026-07-31_claude-opus-5-generic-v2_rep1,34,50,68.0,59,88,67.04545454545455
CHORUS,claudecode_agent,2026-07-31_claude-opus-5-generic-v2_rep2,34,50,68.0,59,88,67.04545454545455
CHORUS,claudecode_agent,2026-07-31_claude-opus-5-generic-v2_rep3,34,50,68.0,59,88,67.04545454545455
