project,method,rubric10_total,rubric10_max,rubric10_percentage,rubric20_total,rubric20_max,rubric20_percentage
AI_READI,claudecode_agent_core,34,50,68.0,67,88,76.13636363636364
AI_READI,claudecode_agent,29,50,57.99999999999999,67,88,76.13636363636364
AI_READI,curated,26,50,52.0,67,88,76.13636363636364
AI_READI,gpt5,3,50,6.0,10,88,11.363636363636363
AI_READI,claudecode,26,50,52.0,63,88,71.5909090909091
CM4AI,claudecode_agent_core,36,50,72.0,67,88,76.13636363636364
CM4AI,claudecode_agent,27,50,54.0,67,88,76.13636363636364
CM4AI,curated,18,50,36.0,51,88,57.95454545454546
CM4AI,gpt5,20,50,40.0,54,88,61.36363636363637
CM4AI,claudecode,23,50,46.0,63,88,71.5909090909091
VOICE,claudecode_agent_core,40,50,80.0,71,88,80.68181818181817
VOICE,claudecode_agent,35,50,70.0,67,88,76.13636363636364
VOICE,curated,30,50,60.0,67,88,76.13636363636364
VOICE,gpt5,1,50,2.0,4,88,4.545454545454546
VOICE,claudecode,25,50,50.0,59,88,67.04545454545455
CHORUS,claudecode_agent_core,37,50,74.0,71,88,80.68181818181817
CHORUS,claudecode_agent,27,50,54.0,67,88,76.13636363636364
CHORUS,gpt5,4,50,8.0,14,88,15.909090909090908
CHORUS,claudecode,11,50,22.0,35,88,39.77272727272727
