project,method,type,file,total_score,max_score,percentage,cat1_structural,cat2_metadata,cat3_technical,cat4_fairness,question_scores
AI_READI,claudecode,concatenated,data/d4d_concatenated/claudecode/AI_READI_d4d.yaml,49,84,58.3,10,4,18,17,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:3/5,Q10:0/5,Q11:0/5,Q12:5/5,Q13:5/5,Q14:5/5,Q15:3/5,Q16:1/1,Q17:5/5,Q18:5/5,Q19:5/5,Q20:1/1"
AI_READI,claudecode_agent,concatenated,data/d4d_concatenated/claudecode_agent/AI_READI_d4d.yaml,58,84,69.0,13,12,18,15,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:3/5,Q5:0/1,Q6:1/1,Q7:5/5,Q8:3/5,Q9:3/5,Q10:0/5,Q11:0/5,Q12:3/5,Q13:5/5,Q14:5/5,Q15:5/5,Q16:1/1,Q17:5/5,Q18:5/5,Q19:3/5,Q20:1/1"
AI_READI,claudecode_assistant,concatenated,data/d4d_concatenated/claudecode_assistant/AI_READI_d4d.yaml,56,84,66.7,10,9,20,17,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:5/5,Q9:3/5,Q10:0/5,Q11:0/5,Q12:5/5,Q13:5/5,Q14:5/5,Q15:5/5,Q16:1/1,Q17:5/5,Q18:5/5,Q19:5/5,Q20:1/1"
AI_READI,gpt5,concatenated,data/d4d_concatenated/gpt5/AI_READI_d4d.yaml,3,84,3.6,3,0,0,0,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:0/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:0/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/e097449_full_row2_d4d.yaml,12,84,14.3,10,1,0,1,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row12_d4d.yaml,8,84,9.5,6,1,0,1,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_google_com_document-d_row11_d4d.yaml,6,84,7.1,6,0,0,0,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:0/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:0/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/doi_row9_d4d.yaml,8,84,9.5,6,1,0,1,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_aireadi_org_docs-2_row8_d4d.yaml,10,84,11.9,8,1,0,1,"Q1:0/5,Q2:5/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row13_d4d.yaml,8,84,9.5,6,1,0,1,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row16_d4d.yaml,8,84,9.5,6,1,0,1,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/doi_row2_d4d.yaml,8,84,9.5,6,1,0,1,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_aireadi_org_docs-2_row10_d4d.yaml,10,84,11.9,8,1,0,1,"Q1:0/5,Q2:5/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/RePORT_RePORTER_AI_READI_d4d.yaml,15,84,17.9,10,1,3,1,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:3/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/fairhub_row10_d4d.yaml,8,84,9.5,6,1,0,1,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/docs_google_com_document-d_row13_d4d.yaml,6,84,7.1,6,0,0,0,"Q1:0/5,Q2:3/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:0/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:0/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/RePORT_RePORTER_AI-READI_d4d.yaml,17,84,20.2,10,6,0,1,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:5/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_agent,individual,data/d4d_individual/claudecode_agent/AI_READI/zenodo_org_records-10642459_row11_d4d.yaml,5,84,6.0,3,1,0,1,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/RePORT_RePORTER_AI_READI_d4d.yaml,17,84,20.2,10,6,0,1,"Q1:0/5,Q2:5/5,Q3:5/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:5/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row12_d4d.yaml,6,84,7.1,3,1,0,2,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:1/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/zenodo_org_records-10642459_row11_d4d.yaml,6,84,7.1,3,1,0,2,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:1/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/docs_google_com_document-d_row13_d4d.yaml,6,84,7.1,3,3,0,0,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:0/1,Q7:0/5,Q8:3/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:0/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/doi_row2_d4d.yaml,10,84,11.9,3,1,5,1,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:5/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row13_d4d.yaml,6,84,7.1,3,1,0,2,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:1/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/fairhub_row16_d4d.yaml,6,84,7.1,3,1,0,2,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:0/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:1/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/docs_google_com_document-d_row11_d4d.yaml,6,84,7.1,3,3,0,0,"Q1:0/5,Q2:3/5,Q3:0/5,Q4:0/5,Q5:0/1,Q6:0/1,Q7:0/5,Q8:3/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:0/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:0/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
AI_READI,claudecode_assistant,individual,data/d4d_individual/claudecode_assistant/AI_READI/e097449.full_row2_d4d.yaml,16,84,19.0,8,4,3,1,"Q1:0/5,Q2:5/5,Q3:3/5,Q4:0/5,Q5:0/1,Q6:1/1,Q7:0/5,Q8:3/5,Q9:0/5,Q10:0/5,Q11:0/5,Q12:3/5,Q13:0/5,Q14:0/5,Q15:0/5,Q16:1/1,Q17:0/5,Q18:0/5,Q19:0/5,Q20:0/1"
