# Comprehensive SSSOM Mapping - ALL D4D Attributes
# Includes mapped, recommended, novel, free text, and unmapped attributes
# Date: 2026-03-19T23:43:47.985143
# Total attributes: 270
#
# Status breakdown:
#   free_text: 54
#   mapped: 67
#   novel_d4d: 42
#   recommended: 69
#   unmapped: 38
#
# d4d_module: D4D schema module containing this attribute
#
d4d_schema_path	subject_id	subject_label	d4d_module	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	mapping_status	d4d_description	d4d_module
Dataset.access_details	d4d:access_details	Access Details	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Information on how to access or retrieve the raw source data.
"	Unknown
Dataset.access_url	d4d:access_url	Access Url	Unknown	skos:closeMatch	@graph[?@type='Dataset']['accessURL']	dcat:accessURL	accessURL	semapv:SuggestedMapping	0.5	Recommended mapping (confidence: medium)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://www.w3.org/ns/dcat#	d4d-rocrate-comprehensive-v1	1.0	recommended	URL or access point for the raw data.	Unknown
Dataset.access_urls	d4d:access_urls	Access Urls	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Details of the distribution channel(s) or format(s).	Unknown
Dataset.acquisition_details	d4d:acquisition_details	Acquisition Details	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Details on how data was acquired for each instance.
"	Unknown
Dataset.acquisition_methods	d4d:acquisition_methods	Acquisition Methods	D4D_Collection	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-comprehensive-v1	1.0	mapped		D4D_Collection
Dataset.addressing_gaps	d4d:addressing_gaps	Addressing Gaps	D4D_Motivation	skos:exactMatch	@graph[?@type='Dataset']['d4d:addressing_gaps']	d4d:addressing_gaps	addressing_gaps	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d		D4D_Motivation
Dataset.affected_subsets	d4d:affected_subsets	Affected Subsets	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Specific subsets or features of the dataset affected by this bias.
"	Unknown
Dataset.affiliation	d4d:affiliation	Affiliation	Unknown	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The organization(s) to which the person belongs in the context of this dataset. May vary across data...	Unknown
Dataset.affiliations	d4d:affiliations	Affiliations	Unknown	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Organizations with which the creator or team is affiliated.	Unknown
Dataset.agreement_metric	d4d:agreement_metric	Agreement Metric	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Type of agreement metric used (Cohen's kappa, Fleiss' kappa, Krippendorff's alpha, percentage agreem...	Unknown
Dataset.analysis_method	d4d:analysis_method	Analysis Method	Unknown	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"Methodology used to assess annotation quality and resolve disagreements.
"	Unknown
Dataset.annotation_analyses	d4d:annotation_analyses	Annotation Analyses	D4D_Preprocessing	skos:exactMatch	@graph[?@type='Dataset']['d4d:annotation_analyses']	d4d:annotation_analyses	annotation_analyses	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Analysis of annotation quality and inter-annotator agreement.	D4D_Preprocessing
Dataset.annotation_quality_details	d4d:annotation_quality_details	Annotation Quality Details	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Additional details on annotation quality assessment and findings.
"	Unknown
Dataset.annotations_per_item	d4d:annotations_per_item	Annotations Per Item	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Number of annotations collected per data item. Multiple annotations per item enable calculation of i...	Unknown
Dataset.annotator_demographics	d4d:annotator_demographics	Annotator Demographics	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Demographic information about annotators, if available and relevant (e.g., geographic location, lang...	Unknown
Dataset.anomalies	d4d:anomalies	Anomalies	D4D_Composition	skos:exactMatch	@graph[?@type='Dataset']['d4d:anomalies']	d4d:anomalies	anomalies	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	mapped		D4D_Composition
Dataset.anomaly_details	d4d:anomaly_details	Anomaly Details	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Details on errors, noise sources, or redundancies in the dataset.
"	Unknown
Dataset.anonymization_method	d4d:anonymization_method	Anonymization Method	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	What methods were used to anonymize or de-identify participant data? Include technical details of pr...	Unknown
Dataset.archival	d4d:archival	Archival	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Indication whether official archival versions of external resources are included.
"	Unknown
Dataset.assent_procedures	d4d:assent_procedures	Assent Procedures	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	For research involving minors, what assent procedures were used? How was developmentally appropriate...	Unknown
Dataset.bias_description	d4d:bias_description	Bias Description	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Detailed description of how this bias manifests in the dataset, including affected populations, feat...	Unknown
Dataset.bias_type	d4d:bias_type	Bias Type	Unknown	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	The type of bias identified, using standardized categories from the Artificial Intelligence Ontology...	Unknown
Dataset.bytes	d4d:bytes	Bytes	D4D_Base	skos:exactMatch	@graph[?@type='Dataset']['contentSize']	schema:contentSize	contentSize	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Size of the data in bytes.	D4D_Base
Dataset.categories	d4d:categories	Categories	Unknown	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The permitted categories or values for a categorical variable. Each entry should describe a possible...	Unknown
Dataset.citation	d4d:citation	Citation	D4D_Base	skos:exactMatch	@graph[?@type='Dataset']['citation']	schema:citation	citation	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Recommended citation for this dataset in DataCite or BibTeX format. Provides a standard way to cite ...	D4D_Base
Dataset.cleaning_details	d4d:cleaning_details	Cleaning Details	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Details on data cleaning procedures applied.
"	Unknown
Dataset.cleaning_strategies	d4d:cleaning_strategies	Cleaning Strategies	D4D_Preprocessing	skos:exactMatch	@graph[?@type='Dataset']['d4d:cleaning_strategies']	d4d:cleaning_strategies	cleaning_strategies	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d		D4D_Preprocessing
Dataset.collection_details	d4d:collection_details	Collection Details	Unknown	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Details on direct vs. indirect collection methods and sources.
"	Unknown
Dataset.collection_mechanisms	d4d:collection_mechanisms	Collection Mechanisms	D4D_Collection	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-comprehensive-v1	1.0	mapped		D4D_Collection
Dataset.collection_timeframes	d4d:collection_timeframes	Collection Timeframes	D4D_Collection	skos:exactMatch	@graph[?@type='Dataset']['d4d:dataCollectionTimeframe']	d4d:dataCollectionTimeframe	dataCollectionTimeframe	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	mapped		D4D_Collection
