# SSSOM (Simple Standard for Sharing Ontology Mappings)
# Generated from D4D SKOS alignment
# Date: 2026-03-19T23:07:51.068512
# Subset: False
# Total mappings: 95
#
# d4d_module: D4D schema module containing this attribute
#
d4d_schema_path	subject_id	subject_label	d4d_module	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	in_rocrate_json	in_pydantic_model	in_interface_mapping	d4d_module
Dataset.Dataset	d4d:Dataset	Dataset	Unknown	skos:exactMatch	@graph[?@type='Dataset']['Dataset']	schema:Dataset	Dataset	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false	Unknown
Dataset.title	d4d:title	Title	Unknown	skos:exactMatch	@graph[?@type='Dataset']['name']	schema:name	name	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.description	d4d:description	Description	Unknown	skos:exactMatch	@graph[?@type='Dataset']['description']	schema:description	description	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.doi	d4d:doi	Doi	Unknown	skos:exactMatch	@graph[?@type='Dataset']['identifier']	schema:identifier	identifier	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.keywords	d4d:keywords	Keywords	Unknown	skos:exactMatch	@graph[?@type='Dataset']['keywords']	schema:keywords	keywords	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.language	d4d:language	Language	Unknown	skos:exactMatch	@graph[?@type='Dataset']['inLanguage']	schema:inLanguage	inLanguage	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.license	d4d:license	License	Unknown	skos:exactMatch	@graph[?@type='Dataset']['license']	schema:license	license	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.publisher	d4d:publisher	Publisher	Unknown	skos:exactMatch	@graph[?@type='Dataset']['publisher']	schema:publisher	publisher	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.version	d4d:version	Version	Unknown	skos:exactMatch	@graph[?@type='Dataset']['version']	schema:version	version	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.page	d4d:page	Page	Unknown	skos:exactMatch	@graph[?@type='Dataset']['url']	schema:url	url	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.download_url	d4d:download_url	Download Url	Unknown	skos:exactMatch	@graph[?@type='Dataset']['contentUrl']	schema:contentUrl	contentUrl	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.bytes	d4d:bytes	Bytes	D4D_Base	skos:exactMatch	@graph[?@type='Dataset']['contentSize']	schema:contentSize	contentSize	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	D4D_Base
Dataset.md5	d4d:md5	Md5	D4D_Base	skos:exactMatch	@graph[?@type='Dataset']['evi:md5']	evi:md5	md5	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Base
Dataset.sha256	d4d:sha256	Sha256	D4D_Base	skos:exactMatch	@graph[?@type='Dataset']['evi:sha256']	evi:sha256	sha256	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Base
Dataset.hash	d4d:hash	Hash	D4D_Base	skos:exactMatch	@graph[?@type='Dataset']['evi:md5']	evi:md5	md5	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Base
Dataset.created_on	d4d:created_on	Created On	Unknown	skos:exactMatch	@graph[?@type='Dataset']['dateCreated']	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.issued	d4d:issued	Issued	Unknown	skos:exactMatch	@graph[?@type='Dataset']['datePublished']	schema:datePublished	datePublished	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true	Unknown
Dataset.last_updated_on	d4d:last_updated_on	Last Updated On	Unknown	skos:exactMatch	@graph[?@type='Dataset']['dateModified']	schema:dateModified	dateModified	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.status	d4d:status	Status	Unknown	skos:exactMatch	@graph[?@type='Dataset']['creativeWorkStatus']	schema:creativeWorkStatus	creativeWorkStatus	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.conforms_to	d4d:conforms_to	Conforms To	Unknown	skos:exactMatch	@graph[?@type='Dataset']['conformsTo']	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	false	true	Unknown
Dataset.was_derived_from	d4d:was_derived_from	Was Derived From	Unknown	skos:exactMatch	@graph[?@type='Dataset']['isBasedOn']	schema:isBasedOn	isBasedOn	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	Unknown
Dataset.addressing_gaps	d4d:addressing_gaps	Addressing Gaps	D4D_Motivation	skos:exactMatch	@graph[?@type='Dataset']['d4d:addressingGaps']	d4d:addressingGaps	addressingGaps	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true	D4D_Motivation
Dataset.anomalies	d4d:anomalies	Anomalies	D4D_Composition	skos:exactMatch	@graph[?@type='Dataset']['d4d:anomalies']	d4d:anomalies	anomalies	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Composition
Dataset.content_warnings	d4d:content_warnings	Content Warnings	D4D_Composition	skos:exactMatch	@graph[?@type='Dataset']['d4d:contentWarnings']	d4d:contentWarnings	contentWarnings	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Composition
Dataset.informed_consent	d4d:informed_consent	Informed Consent	D4D_Human	skos:exactMatch	@graph[?@type='Dataset']['d4d:informedConsent']	d4d:informedConsent	informedConsent	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true	D4D_Human
Dataset.acquisition_methods	d4d:acquisition_methods	Acquisition Methods	D4D_Collection	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Collection
Dataset.collection_mechanisms	d4d:collection_mechanisms	Collection Mechanisms	D4D_Collection	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Collection
Dataset.collection_timeframes	d4d:collection_timeframes	Collection Timeframes	D4D_Collection	skos:exactMatch	@graph[?@type='Dataset']['d4d:dataCollectionTimeframe']	d4d:dataCollectionTimeframe	dataCollectionTimeframe	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Collection
Dataset.confidential_elements	d4d:confidential_elements	Confidential Elements	D4D_Composition	skos:exactMatch	@graph[?@type='Dataset']['rai:personalSensitiveInformation']	rai:personalSensitiveInformation	personalSensitiveInformation	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Composition
Dataset.data_protection_impacts	d4d:data_protection_impacts	Data Protection Impacts	D4D_Ethics	skos:exactMatch	@graph[?@type='Dataset']['rai:dataSocialImpact']	rai:dataSocialImpact	dataSocialImpact	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Ethics
Dataset.future_use_impacts	d4d:future_use_impacts	Future Use Impacts	D4D_Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:dataSocialImpact']	rai:dataSocialImpact	dataSocialImpact	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Uses
Dataset.discouraged_uses	d4d:discouraged_uses	Discouraged Uses	D4D_Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:prohibitedUses']	rai:prohibitedUses	prohibitedUses	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true	D4D_Uses
Dataset.prohibited_uses	d4d:prohibited_uses	Prohibited Uses	D4D_Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:prohibitedUses']	rai:prohibitedUses	prohibitedUses	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true	D4D_Uses
Dataset.distribution_dates	d4d:distribution_dates	Distribution Dates	D4D_Distribution	skos:exactMatch	@graph[?@type='Dataset']['dateCreated']	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Distribution
Dataset.errata	d4d:errata	Errata	D4D_Maintenance	skos:exactMatch	@graph[?@type='Dataset']['correction']	schema:correction	correction	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true	D4D_Maintenance
Dataset.ethical_reviews	d4d:ethical_reviews	Ethical Reviews	D4D_Ethics	skos:exactMatch	@graph[?@type='Dataset']['rai:ethicalReview']	rai:ethicalReview	ethicalReview	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true	D4D_Ethics
