# URI-level SSSOM - Interface Subset Attributes
# Filtered from comprehensive URI SSSOM to include only interface attributes
# Date: 2026-03-23T23:31:27.021448
# Total interface attributes: 83
# (Out of 268 total D4D attributes)
#
# Status breakdown:
#   free_text: 4
#   mapped: 59
#   novel_d4d: 20
#
# Current slot_uri coverage: 83/83 (100.0%)
# Attributes needing slot_uri: 0/83 (0.0%)
#
# d4d_module: D4D schema module containing this attribute
#
d4d_slot_name	d4d_module	d4d_slot_uri_current	subject_source	predicate_id	d4d_slot_uri_recommended	object_id	object_label	object_source	confidence	mapping_justification	comment	mapping_status	needs_slot_uri	vocab_crosswalk	author_id	mapping_date	mapping_set_id	mapping_set_version	d4d_module
acquisition_methods	D4D_Collection	d4d:acquisitionMethods	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:dataCollection	rai:dataCollection	dataCollection	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Collection
addressing_gaps	D4D_Motivation	d4d:addressingGaps	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:addressing_gaps	d4d:addressing_gaps	addressing_gaps	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Motivation
annotation_analyses	D4D_Preprocessing	d4d:annotation_analyses	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:annotation_analyses	d4d:annotation_analyses	annotation_analyses	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Preprocessing
anomalies	D4D_Composition	d4d:anomalies	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:anomalies	d4d:anomalies	anomalies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Composition
bytes	D4D_Base	dcat:byteSize	https://www.w3.org/ns/dcat#	skos:exactMatch	schema:contentSize	schema:contentSize	contentSize	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Base
cleaning_strategies	D4D_Preprocessing	d4d:cleaningStrategies	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:cleaning_strategies	d4d:cleaning_strategies	cleaning_strategies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Preprocessing
collection_mechanisms	D4D_Collection	d4d:collectionMechanisms	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:dataCollection	rai:dataCollection	dataCollection	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Collection
collection_timeframes	D4D_Collection	d4d:collectionTimeframes	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:dataCollectionTimeframe	d4d:dataCollectionTimeframe	dataCollectionTimeframe	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Collection
compression	Unknown	dcat:compressFormat	https://www.w3.org/ns/dcat#	skos:closeMatch	evi:formats	evi:formats	formats	https://w3id.org/EVI#	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	Unknown
confidential_elements	D4D_Composition	d4d:confidentialElements	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:confidential_elements	d4d:confidential_elements	confidential_elements	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Composition
conforms_to	Unknown	dcterms:conformsTo	http://purl.org/dc/terms/	skos:exactMatch	schema:conformsTo	schema:conformsTo	conformsTo	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	Unknown
content_warnings	D4D_Composition	d4d:contentWarnings	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:content_warnings	d4d:content_warnings	content_warnings	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Composition
created_by	Unknown	dcterms:creator	http://purl.org/dc/terms/	skos:closeMatch	schema:creator	schema:creator	creator	https://schema.org/	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	Unknown
created_on	Unknown	dcterms:created	http://purl.org/dc/terms/	skos:exactMatch	schema:dateCreated	schema:dateCreated	dateCreated	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	Unknown
creators	D4D_Motivation	schema:creator	https://schema.org/	skos:closeMatch	schema:author	schema:author	author	https://schema.org/	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0	D4D_Motivation
