# SSSOM URI-level Mapping (D4D slot URIs ↔ RO-Crate property URIs)
# Generated from D4D LinkML schema slot_uri definitions
# Date: 2026-03-19T23:15:33.148007
# Total mappings: 33
#
# Maps at the vocabulary/semantic level using:
# - D4D: slot_uri from LinkML schema (dcterms, dcat, schema, prov)
# - RO-Crate: JSON-LD property URIs (schema.org, EVI, RAI, D4D)
#
# d4d_module: D4D schema module containing this attribute
#
subject_id	subject_label	d4d_module	subject_source	predicate_id	object_id	object_label	object_source	mapping_justification	confidence	comment	author_id	mapping_date	mapping_set_id	mapping_set_version	d4d_slot_name	vocab_crosswalk	d4d_module
schema:sameAs	sameAs	Unknown	https://schema.org/	skos:exactMatch	schema:sameAs	sameAs	https://schema.org/	semapv:ManualMappingCuration	1.0	D4D slot 'same_as' (slot_uri: schema:sameAs) → RO-Crate 'schema:sameAs'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	same_as	false	Unknown
dcat:theme	theme	Unknown	https://www.w3.org/ns/dcat#	skos:closeMatch	schema:about	about	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'themes' (slot_uri: dcat:theme) → RO-Crate 'schema:about'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	themes	true	Unknown
dcterms:title	title	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:name	name	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'title' (slot_uri: dcterms:title) → RO-Crate 'schema:name'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	title	true	Unknown
dcterms:language	language	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:inLanguage	inLanguage	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'language' (slot_uri: dcterms:language) → RO-Crate 'schema:inLanguage'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	language	true	Unknown
dcterms:publisher	publisher	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:publisher	publisher	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'publisher' (slot_uri: dcterms:publisher) → RO-Crate 'schema:publisher'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	publisher	true	Unknown
dcterms:issued	issued	Unknown	http://purl.org/dc/terms/	skos:closeMatch	schema:datePublished	datePublished	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'issued' (slot_uri: dcterms:issued) → RO-Crate 'schema:datePublished'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	issued	true	Unknown
dcat:landingPage	landingPage	Unknown	https://www.w3.org/ns/dcat#	skos:closeMatch	schema:url	url	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'page' (slot_uri: dcat:landingPage) → RO-Crate 'schema:url'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	page	true	Unknown
schema:encodingFormat	encodingFormat	D4D_Base	https://schema.org/	skos:exactMatch	schema:encodingFormat	encodingFormat	https://schema.org/	semapv:ManualMappingCuration	1.0	D4D slot 'dialect' (slot_uri: schema:encodingFormat) → RO-Crate 'schema:encodingFormat'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	dialect	false	D4D_Base
dcat:byteSize	byteSize	D4D_Base	https://www.w3.org/ns/dcat#	skos:closeMatch	schema:contentSize	contentSize	https://schema.org/	semapv:ManualMappingCuration	0.9	D4D slot 'bytes' (slot_uri: dcat:byteSize) → RO-Crate 'schema:contentSize'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	bytes	true	D4D_Base
schema:contentUrl	contentUrl	D4D_Base	https://schema.org/	skos:exactMatch	schema:contentUrl	contentUrl	https://schema.org/	semapv:ManualMappingCuration	1.0	D4D slot 'path' (slot_uri: schema:contentUrl) → RO-Crate 'schema:contentUrl'	https://orcid.org/0000-0000-0000-0000	2026-03-19	d4d-rocrate-uri-alignment-v1	1.0	path	false	D4D_Base
