# d4d_module: D4D schema module containing this attribute
#
subject_id	subject_label	subject_category	d4d_module	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	subject_type	subject_multivalued	object_type	type_compatible	composition_path	structural_notes	warnings	d4d_module
d4d:Purpose/name	name	Purpose	D4D_Motivation	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Purpose		D4D_Motivation
d4d:Purpose/description	description	Purpose	D4D_Motivation	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Purpose		D4D_Motivation
d4d:Task/name	name	Task	D4D_Motivation	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Task		D4D_Motivation
d4d:Task/description	description	Task	D4D_Motivation	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Task		D4D_Motivation
d4d:AddressingGap/name	name	AddressingGap	D4D_Motivation	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from AddressingGap		D4D_Motivation
d4d:AddressingGap/description	description	AddressingGap	D4D_Motivation	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from AddressingGap		D4D_Motivation
d4d:Creator/principal_investigator	principal_investigator	Creator	D4D_Motivation	skos:exactMatch	principalInvestigator	principalInvestigator	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	Person	False	str	True		Mapped via DatasetProperty hierarchy from Creator		D4D_Motivation
d4d:Creator/name	name	Creator	D4D_Motivation	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Creator		D4D_Motivation
d4d:Creator/description	description	Creator	D4D_Motivation	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Creator		D4D_Motivation
d4d:FundingMechanism/name	name	FundingMechanism	D4D_Motivation	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from FundingMechanism		D4D_Motivation
d4d:FundingMechanism/description	description	FundingMechanism	D4D_Motivation	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from FundingMechanism		D4D_Motivation
d4d:Instance/name	name	Instance	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Instance		D4D_Composition
d4d:Instance/description	description	Instance	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Instance		D4D_Composition
d4d:SamplingStrategy/name	name	SamplingStrategy	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from SamplingStrategy		D4D_Composition
d4d:SamplingStrategy/description	description	SamplingStrategy	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from SamplingStrategy		D4D_Composition
d4d:MissingInfo/name	name	MissingInfo	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from MissingInfo		D4D_Composition
d4d:MissingInfo/description	description	MissingInfo	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from MissingInfo		D4D_Composition
d4d:Relationships/name	name	Relationships	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Relationships		D4D_Composition
d4d:Relationships/description	description	Relationships	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Relationships		D4D_Composition
d4d:Splits/name	name	Splits	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Splits		D4D_Composition
d4d:Splits/description	description	Splits	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Splits		D4D_Composition
d4d:DataAnomaly/name	name	DataAnomaly	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DataAnomaly		D4D_Composition
d4d:DataAnomaly/description	description	DataAnomaly	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DataAnomaly		D4D_Composition
d4d:DatasetBias/name	name	DatasetBias	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DatasetBias		D4D_Composition
d4d:DatasetBias/description	description	DatasetBias	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DatasetBias		D4D_Composition
d4d:DatasetLimitation/name	name	DatasetLimitation	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DatasetLimitation		D4D_Composition
d4d:DatasetLimitation/description	description	DatasetLimitation	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from DatasetLimitation		D4D_Composition
d4d:ExternalResource/name	name	ExternalResource	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ExternalResource		D4D_Composition
d4d:ExternalResource/description	description	ExternalResource	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ExternalResource		D4D_Composition
d4d:Confidentiality/name	name	Confidentiality	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Confidentiality		D4D_Composition
d4d:Confidentiality/description	description	Confidentiality	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from Confidentiality		D4D_Composition
d4d:ContentWarning/name	name	ContentWarning	D4D_Composition	skos:exactMatch	name	name	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ContentWarning		D4D_Composition
d4d:ContentWarning/description	description	ContentWarning	D4D_Composition	skos:exactMatch	description	description	semapv:StructuralMapping	1.0	d4d:data_sheets_schema	rocrate:fairscape	string	False	str	True		Mapped via DatasetProperty hierarchy from ContentWarning		D4D_Composition
