Class	D4D Property	Type	Def	D4D description	FAIRSCAPE RO-Crate Property	Func	Notes	Covered by FAIRSCAPE? Yes =1; No = 0	Direct mapping? Yes =1; No = 0	Gap in FAIRSCAPE? Yes =1; No = 0	Comments
D4D: Dataset											
RO-Crate: Fairscape Release RO-Crate	acquisition_methods			(slot exists but no description)	rai:dataCollection,rai:dataCollectionType			1	1	0	
	addressing_gaps	str		Was there a specific gap that needed to be filled by creation of the dataset?	*addressingGaps		Was there a specific gap that needed to be filled by creation of the dataset?	1	1	0	
	anomalies	str		(slot exists but no description)	*anomalies			1	1	0	
	annotation_analyses			(slot exists but no description)	rai:dataAnnotationAnalysis			1	1	0	
	bytes	Int		Size of the data in bytes.	contentSize			1	1	0	
	cleaning_strategies			Was any cleaning of the data done (e.g., removal of instances, processing of missing values)?	rai:dataManipulationProtocol			1	1	0	
	collection_mechanisms			What mechanisms or procedures were used to collect the data (e.g., hardware, manual curation, software APIs)? Also covers how these mechanisms were validated.	rai:dataCollection,rai:dataCollectionType			1	1	0	
	collection_timeframes			Over what timeframe was the data collected, and does this timeframe match the creation timeframe of the underlying data?	dataCollectionTimeframe			1	1	0	
	compression	CompressionEnum	(GZIP/TAR/ZIP)	compression format used, if any. e.g., gzip, bzip2, zip	conversion of evi:formats?			1	1	0	
	confidential_elements	str		(slot exists but no description)	rai:personalSensitiveInformation			1	1	0	
	conforms_to	URI		(slot exists but no description)	RO-Crate Spec url			1	1	0	
	content_warnings	str		Does the dataset contain any data that might be offensive, insulting, threatening, or otherwise anxiety-provoking if viewed directly?	*contentWarnings			1	1	0	
	created_by	Creator	Person/Org (name/email)	(slot exists but no description)	owner/author			1	1	0	
	created_on	created_on		(slot exists but no description)	dateCreated			1	1	0	
	creators	str		Who created the dataset (e.g., which team, research group) and on behalf of which entity (e.g., company, institution, organization)? This may also be considered a team.	author			1	1	0	
	data_collectors			Who was involved in the data collection (e.g., students, crowdworkers, contractors), and how they were compensated.	data_collectors			1	0	0	
	data_protection_impacts	str		Has an analysis of the potential impact of the dataset and its use on data subjects (e.g., a data protection impact analysis) been conducted? If so, please provide a description of this analysis, including the outcomes, and any supporting documentation.	rai:dataSocialImpact			1	1	0	
	description	str		(slot exists but no description)	description			1	1	0	
	dialect	str		(slot exists but no description)	format + schema (headers T/F, and sep)			1	0	0	
	discouraged_uses			Are there tasks for which the dataset should not be used?	prohibitedUses			1	1	0	
	distribution_dates			When will the dataset be distributed?	dateCreated			1	1	0	
	distribution_formats			How will the dataset be distributed (e.g., tarball on a website, API, GitHub)?	evi:formats			1	1	0	
	doi	URI		digital object identifier	identifier			1	1	0	
	download_url	str/URI		URL from which the data can be downloaded. This is not the same as the landing page, which is a page that describes the dataset. Rather, this URL points directly to the data itself.	contentUrl			1	1	0	
	encoding	str		the character encoding of the data	evi:formats			1	1	0	
	errata			(slot exists but no description)	correction			1	1	0	
	ethical_reviews			Were any ethical or compliance review processes conducted (e.g., by an institutional review board)? If so, please provide a description of these review processes, including the frequency of review and documentation of outcomes, as well as a link or other access point to any supporting documentation.	ethicalReview		we use need to add to model	1	1	0	
	existing_uses			Has the dataset been used for any tasks already?	rai:dataUseCases			1	1	0	
	extension_mechanism			If others want to extend/augment/build on/contribute to the dataset, is there a mechanism for them to do so? If so, please describe how those contributions are validated and communicated.	license, conditionsOfAccess			1	0	0	
	external_resource			Is the dataset self-contained or does it rely on external resources (e.g., websites, other datasets)? If external, are there guarantees that those resources will remain available and unchanged?	associatedPublication		Is the dataset self-contained, or does it link to or otherwise rely on external resources (e.g., websites, tweets,	1	1	0	
	funders	str		(slot exists but no description)	funders		We have need to add to model	1	1	0	
	future_use_impacts			Is there anything about the dataset's composition or collection that might impact future uses or create risks/harm (e.g., unfair treatment, legal or financial risks)? If so, describe these impacts and any mitigation strategies.	rai:dataSocialImpact			1	1	0	
	hash	str		hash of the data	md5			1	1	0	
	human_subject_research			Information about whether the dataset involves human subjects research and what regulatory or ethical review processes were followed.	humanSubject			1	1	0	
	imputation_protocols			Description of data imputation methodology, including techniques used to handle missing values and rationale for chosen approaches.	rai:imputationProtocol			1	1	0	
	informed_consent			Details about informed consent procedures used in human subjects research.	*informedConsent			1	1	0	
	instances	data_topic,instance_type,counts,label,label_description		What do the instances that comprise the dataset represent (e.g., documents, photos, people, countries)?	IDK	sum stats of our datasets sort of?	What do the instances that comprise the dataset represent (e.g., documents, photos, people, countries)?	1	0	0	
	intended_uses			Explicit statement of intended uses for this dataset. Complements FutureUseImpact by focusing on positive, recommended applications rather than risks. Aligns with RO-Crate "Intended Use" field.	rai:dataUseCases			1	1	0	
	ip_restrictions			(slot exists but no description)	license, conditionsOfAccess			1	1	0	
	is_deidentified			(slot exists but no description)	confidentiality_level?			1	0	0	
