Concept/Field	Croissant	Croissant RAI	FAIR²	Schema.org	Data Statements	Frictionless	Current D4D Coverage	Status	Priority Tier	Notes
# SEMANTIC INTEROPERABILITY
slot_uri mappings (comprehensive)	✓	✓	✓	✓	✗	✗	Partial (20/144 slots = 14%)	MISSING 86%	1	Only 14% of slots have semantic mappings
class_uri mappings (comprehensive)	✓	✓	✓	✓	✗	✗	Minimal (2/65 classes = 3%)	MISSING 97%	1	Only Dataset and NamedThing mapped
Missing prefix definitions	n/a	n/a	n/a	n/a	n/a	n/a	4 prefixes used but undefined	BUG	1	dcterms, prov, bibo, oslc used but not in prefixes section
schema:sameAs	✗	✗	✗	✓	✗	✗	✗ MISSING	MISSING	1	No alternative/canonical URLs
schema:conformsTo	✓	✓	✓	✗	✗	✗	✓ HAS conforms_to slot	COVERED	-	Already in D4D
schema:keywords	✗	✗	✗	✓	✗	✓	✓ HAS keywords slot	COVERED	-	Already in D4D
schema:variableMeasured	✗	✗	✗	✓	✗	✗	✗ MISSING (no variable metadata)	MISSING	1	Critical - no field/variable documentation
# CONTRIBUTOR ATTRIBUTION
ORCID for Person	✗	✗	✓	✗	✗	✗	✗ MISSING	MISSING	1	Person class exists but no orcid attribute
CRediT taxonomy	✗	✗	✓	✗	✗	✓	✗ MISSING	MISSING	1	No contributor role enumeration
Person class	✗	✗	✓	✓	✗	✓	✓ HAS Person class	COVERED	-	Already in D4D
Organization class	✗	✗	✓	✓	✗	✓	✓ HAS Organization class	COVERED	-	Already in D4D
# VARIABLE/FIELD METADATA (CRITICAL GAP)
Field/variable schema	✓	✗	✓	✓	✗	✓	✗ MISSING entirely	MISSING	1	No VariableMetadata class - biggest gap
Data type specifications	✓	✗	✓	✓	✗	✓	✗ MISSING	MISSING	1	No way to document variable types
Unit of measurement (QUDT)	✗	✗	✓	✓	✗	✗	✗ MISSING	MISSING	2	Scientific units for variables
Missing value codes	✗	✗	✗	✗	✗	✗	✗ MISSING	MISSING	2	How missing values are encoded
Variable ranges (min/max)	✗	✗	✗	✗	✗	✓	✗ MISSING	MISSING	2	Numeric variable bounds
Categorical enumerations	✓	✗	✗	✗	✗	✗	✗ MISSING	MISSING	2	Allowed values for categorical variables
# FAIRNESS & BIAS
