Class Name	Parent (is_a)	Mixins	Direct Slots	Inherited Slots	Total Slots	Abstract	URI	Description
AddressingGap	DatasetProperty		5	0	5	No		Was there a specific gap that needed to be filled by creation of the dataset?
AnnotationAnalysis	DatasetProperty		9	0	9	No		Analysis of annotation quality, inter-annotator agreement metrics, and systematic patterns in annota...
CleaningStrategy	DatasetProperty		5	0	5	No		"Was any cleaning of the data done (e.g., removal of instances, processing of missing values)?
"
CollectionConsent	DatasetProperty		5	0	5	No		Did the individuals in question consent to the collection and use of their data? If so, how was cons...
CollectionMechanism	DatasetProperty		5	0	5	No		What mechanisms or procedures were used to collect the data (e.g., hardware, manual curation, softwa...
CollectionNotification	DatasetProperty		5	0	5	No		Were the individuals in question notified about the data collection? If so, please describe (or show...
CollectionTimeframe	DatasetProperty		7	0	7	No		Over what timeframe was the data collected, and does this timeframe match the creation timeframe of ...
Confidentiality	DatasetProperty		6	0	6	No		Does the dataset contain data that might be confidential (e.g., protected by legal privilege, patien...
ConsentRevocation	DatasetProperty		5	0	5	No		If consent was obtained, were the consenting individuals provided with a mechanism to revoke their c...
ContentWarning	DatasetProperty		6	0	6	No		Does the dataset contain any data that might be offensive, insulting, threatening, or otherwise anxi...
Creator	DatasetProperty		7	0	7	No		Who created the dataset (e.g., which team, research group) and on behalf of which entity (e.g., comp...
DataAnomaly	DatasetProperty		5	0	5	No		"Are there any errors, sources of noise, or redundancies in the dataset?
"
DataCollector	DatasetProperty		6	0	6	No		Who was involved in the data collection (e.g., students, crowdworkers, contractors), and how they we...
DataProtectionImpact	DatasetProperty		5	0	5	No		Has an analysis of the potential impact of the dataset and its use on data subjects (e.g., a data pr...
DataSubset	Dataset		95	0	95	No		A subset of a dataset, likely containing multiple files of multiple potential purposes and propertie...
Dataset	Information		93	0	93	No	dcat:Distribution	A single component of related observations and/or information that can be read, manipulated, transfo...
DatasetBias	DatasetProperty		8	0	8	No		Documents known biases present in the dataset. Biases are systematic errors or prejudices that may a...
DatasetCollection	Information		24	0	24	No		A collection of related datasets, likely containing multiple files of multiple potential purposes an...
DatasetLimitation	DatasetProperty		8	0	8	No		Documents known limitations of the dataset that may affect its use or interpretation. Distinct from ...
DatasetProperty			4	0	4	No		Represents a single property of a dataset, or a set of related properties.
DatasetRelationship	DatasetProperty		6	0	6	No		Typed relationship to another dataset, enabling precise specification of how datasets relate to each...
Deidentification	DatasetProperty		8	0	8	No		Is it possible to identify individuals in the dataset, either directly or indirectly (in combination...
DirectCollection	DatasetProperty		6	0	6	No		Indicates whether the data was collected directly from the individuals in question or obtained via t...
DiscouragedUse	DatasetProperty		5	0	5	No		"Are there tasks for which the dataset should not be used?
"
DistributionDate	DatasetProperty		5	0	5	No		"When will the dataset be distributed?
"
DistributionFormat	DatasetProperty		5	0	5	No		"How will the dataset be distributed (e.g., tarball on a website, API, GitHub)?
"
Erratum	DatasetProperty		6	0	6	No		"Is there an erratum? If so, please provide a link or other access point.
"
EthicalReview	DatasetProperty		7	0	7	No		Were any ethical or compliance review processes conducted (e.g., by an institutional review board)? ...
ExistingUse	DatasetProperty		5	0	5	No		"Has the dataset been used for any tasks already?
"
ExportControlRegulatoryRestrictions	DatasetProperty		9	0	9	No		Do any export controls or other regulatory restrictions apply to the dataset or to individual instan...
ExtensionMechanism	DatasetProperty		6	0	6	No		If others want to extend/augment/build on/contribute to the dataset, is there a mechanism for them t...
ExternalResource	DatasetProperty		8	0	8	No		Is the dataset self-contained or does it rely on external resources (e.g., websites, other datasets)...
FormatDialect			5	0	5	No		Additional format information for a file
