Prefix	URI
AIO	https://w3id.org/aio/
B2AI_STANDARD	https://w3id.org/bridge2ai/b2ai-standards-registry/
B2AI_SUBSTRATE	https://w3id.org/bridge2ai/b2ai-standards-registry/
B2AI_TOPIC	https://w3id.org/bridge2ai/b2ai-standards-registry/
DUO	http://purl.obolibrary.org/obo/DUO_
biolink	https://w3id.org/biolink/vocab/
d4dcomposition	https://w3id.org/bridge2ai/data-sheets-schema/composition#
d4ddatagovernance	https://w3id.org/bridge2ai/data-sheets-schema/data-governance#
d4ddistribution	https://w3id.org/bridge2ai/data-sheets-schema/distribution#
d4dethics	https://w3id.org/bridge2ai/data-sheets-schema/ethics#
d4dhuman	https://w3id.org/bridge2ai/data-sheets-schema/human#
d4dmaintenance	https://w3id.org/bridge2ai/data-sheets-schema/maintenance#
d4dmotivation	https://w3id.org/bridge2ai/data-sheets-schema/motivation#
d4dpreprocessing	https://w3id.org/bridge2ai/data-sheets-schema/preprocessing-cleaning-labeling#
d4duses	https://w3id.org/bridge2ai/data-sheets-schema/uses#
d4dvariables	https://w3id.org/bridge2ai/data-sheets-schema/variables#
data_sheets_schema	https://w3id.org/bridge2ai/data-sheets-schema/
datasets	https://w3id.org/linkml/report
dcat	http://www.w3.org/ns/dcat#
dcterms	http://purl.org/dc/terms/
example	https://example.org/
linkml	https://w3id.org/linkml/
mediatypes	https://www.iana.org/assignments/media-types/
prov	http://www.w3.org/ns/prov#
qudt	http://qudt.org/schema/qudt/
rai	http://mlcommons.org/croissant/RAI/
schema	http://schema.org/
sh	https://w3id.org/shacl/
shex	http://www.w3.org/ns/shex#
skos	http://www.w3.org/2004/02/skos/core#
xsd	http://www.w3.org/2001/XMLSchema#
