# SSSOM (Simple Standard for Sharing Ontology Mappings)
# Generated from D4D SKOS alignment
# Date: 2026-03-25T22:41:05.055671
# Subset: False
# Total mappings: 95
#
d4d_schema_path	subject_id	subject_label	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	in_rocrate_json	in_pydantic_model	in_interface_mapping
Dataset.Dataset	d4d:Dataset	Dataset	skos:exactMatch	@graph[?@type='Dataset']['Dataset']	schema:Dataset	Dataset	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
Dataset.title	d4d:title	Title	skos:exactMatch	@graph[?@type='Dataset']['name']	schema:name	name	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.description	d4d:description	Description	skos:exactMatch	@graph[?@type='Dataset']['description']	schema:description	description	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.doi	d4d:doi	Doi	skos:exactMatch	@graph[?@type='Dataset']['identifier']	schema:identifier	identifier	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.keywords	d4d:keywords	Keywords	skos:exactMatch	@graph[?@type='Dataset']['keywords']	schema:keywords	keywords	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.language	d4d:language	Language	skos:exactMatch	@graph[?@type='Dataset']['inLanguage']	schema:inLanguage	inLanguage	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.license	d4d:license	License	skos:exactMatch	@graph[?@type='Dataset']['license']	schema:license	license	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.publisher	d4d:publisher	Publisher	skos:exactMatch	@graph[?@type='Dataset']['publisher']	schema:publisher	publisher	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.version	d4d:version	Version	skos:exactMatch	@graph[?@type='Dataset']['version']	schema:version	version	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.page	d4d:page	Page	skos:exactMatch	@graph[?@type='Dataset']['url']	schema:url	url	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.download_url	d4d:download_url	Download Url	skos:exactMatch	@graph[?@type='Dataset']['contentUrl']	schema:contentUrl	contentUrl	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.bytes	d4d:bytes	Bytes	skos:exactMatch	@graph[?@type='Dataset']['contentSize']	schema:contentSize	contentSize	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.md5	d4d:md5	Md5	skos:exactMatch	@graph[?@type='Dataset']['evi:md5']	evi:md5	md5	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.sha256	d4d:sha256	Sha256	skos:exactMatch	@graph[?@type='Dataset']['evi:sha256']	evi:sha256	sha256	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.hash	d4d:hash	Hash	skos:exactMatch	@graph[?@type='Dataset']['evi:md5']	evi:md5	md5	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.created_on	d4d:created_on	Created On	skos:exactMatch	@graph[?@type='Dataset']['dateCreated']	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.issued	d4d:issued	Issued	skos:exactMatch	@graph[?@type='Dataset']['datePublished']	schema:datePublished	datePublished	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
Dataset.last_updated_on	d4d:last_updated_on	Last Updated On	skos:exactMatch	@graph[?@type='Dataset']['dateModified']	schema:dateModified	dateModified	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.status	d4d:status	Status	skos:exactMatch	@graph[?@type='Dataset']['creativeWorkStatus']	schema:creativeWorkStatus	creativeWorkStatus	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.conforms_to	d4d:conforms_to	Conforms To	skos:exactMatch	@graph[?@type='Dataset']['conformsTo']	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	false	true
Dataset.was_derived_from	d4d:was_derived_from	Was Derived From	skos:exactMatch	@graph[?@type='Dataset']['isBasedOn']	schema:isBasedOn	isBasedOn	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.addressing_gaps	d4d:addressing_gaps	Addressing Gaps	skos:exactMatch	@graph[?@type='Dataset']['d4d:addressingGaps']	d4d:addressingGaps	addressingGaps	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true
Dataset.anomalies	d4d:anomalies	Anomalies	skos:exactMatch	@graph[?@type='Dataset']['d4d:dataAnomalies']	d4d:dataAnomalies	dataAnomalies	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true
Dataset.content_warnings	d4d:content_warnings	Content Warnings	skos:exactMatch	@graph[?@type='Dataset']['d4d:contentWarning']	d4d:contentWarning	contentWarning	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true
Dataset.informed_consent	d4d:informed_consent	Informed Consent	skos:exactMatch	@graph[?@type='Dataset']['d4d:informedConsent']	d4d:informedConsent	informedConsent	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true
Dataset.acquisition_methods	d4d:acquisition_methods	Acquisition Methods	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
Dataset.collection_mechanisms	d4d:collection_mechanisms	Collection Mechanisms	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-25	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
