# URI-level SSSOM - Interface Subset Attributes
# Filtered from comprehensive URI SSSOM to include only interface attributes
# Date: 2026-03-23T23:09:11.860122
# Total interface attributes: 83
# (Out of 268 total D4D attributes)
#
# Status breakdown:
#   free_text: 4
#   mapped: 59
#   novel_d4d: 20
#
# Current slot_uri coverage: 77/83 (92.8%)
# Attributes needing slot_uri: 4/83 (4.8%)
#
d4d_slot_name	d4d_slot_uri_current	subject_source	predicate_id	d4d_slot_uri_recommended	object_id	object_label	object_source	confidence	mapping_justification	comment	mapping_status	needs_slot_uri	vocab_crosswalk	author_id	mapping_date	mapping_set_id	mapping_set_version
acquisition_methods	d4d:acquisitionMethods	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:dataCollection	rai:dataCollection	dataCollection	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
addressing_gaps	d4d:addressingGaps	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:addressing_gaps	d4d:addressing_gaps	addressing_gaps	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
annotation_analyses			skos:exactMatch	d4d:annotation_analyses	d4d:annotation_analyses	annotation_analyses	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
anomalies	d4d:anomalies	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:anomalies	d4d:anomalies	anomalies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
bytes	dcat:byteSize	https://www.w3.org/ns/dcat#	skos:exactMatch	schema:contentSize	schema:contentSize	contentSize	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
cleaning_strategies	d4d:cleaningStrategies	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:cleaning_strategies	d4d:cleaning_strategies	cleaning_strategies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
collection_mechanisms	d4d:collectionMechanisms	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	rai:dataCollection	rai:dataCollection	dataCollection	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
collection_timeframes	d4d:collectionTimeframes	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:dataCollectionTimeframe	d4d:dataCollectionTimeframe	dataCollectionTimeframe	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
compression	dcat:compressFormat	https://www.w3.org/ns/dcat#	skos:closeMatch	evi:formats	evi:formats	formats	https://w3id.org/EVI#	0.9	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
confidential_elements	d4d:confidentialElements	https://w3id.org/bridge2ai/data-sheets-schema/	skos:exactMatch	d4d:confidential_elements	d4d:confidential_elements	confidential_elements	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	no	false	https://orcid.org/0000-0000-0000-0000	2026-03-23	d4d-rocrate-uri-comprehensive-v1	1.0
