project,arm,cohort,rep,path,module,slot,state
AI_READI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/AI_READI_d4d.yaml,Motivation,purposes,populated
AI_READI,direct,,,,Motivation,purposes,no_record
CHORUS,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CHORUS_d4d.yaml,Motivation,purposes,populated
CHORUS,direct,,,,Motivation,purposes,no_record
CM4AI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CM4AI_d4d.yaml,Motivation,purposes,populated
CM4AI,direct,,,,Motivation,purposes,no_record
