project,arm,cohort,rep,module,n_slots,n_populated,fraction
AI_READI,api,v7,1,Motivation,5,5,1.0
AI_READI,api,v7,2,Motivation,5,5,1.0
AI_READI,api,v7,3,Motivation,5,5,1.0
AI_READI,api,v8,1,Motivation,5,5,1.0
AI_READI,api,v8,2,Motivation,5,5,1.0
AI_READI,api,v8,3,Motivation,5,5,1.0
AI_READI,agentic,v6,1,Motivation,5,5,1.0
AI_READI,agentic,v6,2,Motivation,5,5,1.0
AI_READI,agentic,v6,3,Motivation,5,5,1.0
CHORUS,api,v7,1,Motivation,5,5,1.0
CHORUS,api,v7,2,Motivation,5,5,1.0
CHORUS,api,v7,3,Motivation,5,5,1.0
CHORUS,api,v8,1,Motivation,5,5,1.0
CHORUS,api,v8,2,Motivation,5,5,1.0
CHORUS,api,v8,3,Motivation,5,5,1.0
CHORUS,agentic,v6,1,Motivation,5,5,1.0
CHORUS,agentic,v6,2,Motivation,5,5,1.0
CHORUS,agentic,v6,3,Motivation,5,5,1.0
CM4AI,api,v7,1,Motivation,5,5,1.0
CM4AI,api,v7,2,Motivation,5,5,1.0
CM4AI,api,v7,3,Motivation,5,5,1.0
CM4AI,api,v8,1,Motivation,5,5,1.0
CM4AI,api,v8,2,Motivation,5,5,1.0
CM4AI,api,v8,3,Motivation,5,5,1.0
CM4AI,agentic,v6,1,Motivation,5,5,1.0
CM4AI,agentic,v6,2,Motivation,5,5,1.0
CM4AI,agentic,v6,3,Motivation,5,5,1.0
VOICE,api,v7,1,Motivation,5,5,1.0
VOICE,api,v7,2,Motivation,5,5,1.0
VOICE,api,v7,3,Motivation,5,5,1.0
VOICE,api,v8,1,Motivation,5,5,1.0
VOICE,api,v8,2,Motivation,5,5,1.0
VOICE,api,v8,3,Motivation,5,5,1.0
VOICE,agentic,v6,1,Motivation,5,5,1.0
VOICE,agentic,v6,2,Motivation,5,5,1.0
VOICE,agentic,v6,3,Motivation,5,5,1.0
AI_READI,api,v7,1,Composition,14,14,1.0
AI_READI,api,v7,2,Composition,14,14,1.0
AI_READI,api,v7,3,Composition,14,13,0.9286
AI_READI,api,v8,1,Composition,14,14,1.0
AI_READI,api,v8,2,Composition,14,14,1.0
AI_READI,api,v8,3,Composition,14,13,0.9286
AI_READI,agentic,v6,1,Composition,14,14,1.0
AI_READI,agentic,v6,2,Composition,14,14,1.0
AI_READI,agentic,v6,3,Composition,14,14,1.0
CHORUS,api,v7,1,Composition,14,10,0.7143
CHORUS,api,v7,2,Composition,14,9,0.6429
CHORUS,api,v7,3,Composition,14,9,0.6429
CHORUS,api,v8,1,Composition,14,9,0.6429
CHORUS,api,v8,2,Composition,14,10,0.7143
CHORUS,api,v8,3,Composition,14,9,0.6429
CHORUS,agentic,v6,1,Composition,14,9,0.6429
CHORUS,agentic,v6,2,Composition,14,8,0.5714
CHORUS,agentic,v6,3,Composition,14,8,0.5714
CM4AI,api,v7,1,Composition,14,11,0.7857
CM4AI,api,v7,2,Composition,14,12,0.8571
CM4AI,api,v7,3,Composition,14,8,0.5714
CM4AI,api,v8,1,Composition,14,9,0.6429
CM4AI,api,v8,2,Composition,14,9,0.6429
CM4AI,api,v8,3,Composition,14,9,0.6429
CM4AI,agentic,v6,1,Composition,14,6,0.4286
CM4AI,agentic,v6,2,Composition,14,7,0.5
CM4AI,agentic,v6,3,Composition,14,10,0.7143
VOICE,api,v7,1,Composition,14,14,1.0
VOICE,api,v7,2,Composition,14,14,1.0
VOICE,api,v7,3,Composition,14,14,1.0
VOICE,api,v8,1,Composition,14,14,1.0
VOICE,api,v8,2,Composition,14,14,1.0
VOICE,api,v8,3,Composition,14,14,1.0
VOICE,agentic,v6,1,Composition,14,14,1.0
VOICE,agentic,v6,2,Composition,14,14,1.0
VOICE,agentic,v6,3,Composition,14,14,1.0
AI_READI,api,v7,1,Collection,7,7,1.0
AI_READI,api,v7,2,Collection,7,7,1.0
AI_READI,api,v7,3,Collection,7,7,1.0
AI_READI,api,v8,1,Collection,7,7,1.0
AI_READI,api,v8,2,Collection,7,7,1.0
AI_READI,api,v8,3,Collection,7,6,0.8571
AI_READI,agentic,v6,1,Collection,7,7,1.0
AI_READI,agentic,v6,2,Collection,7,7,1.0
AI_READI,agentic,v6,3,Collection,7,7,1.0
CHORUS,api,v7,1,Collection,7,6,0.8571
CHORUS,api,v7,2,Collection,7,6,0.8571
CHORUS,api,v7,3,Collection,7,6,0.8571
CHORUS,api,v8,1,Collection,7,6,0.8571
CHORUS,api,v8,2,Collection,7,6,0.8571
CHORUS,api,v8,3,Collection,7,7,1.0
CHORUS,agentic,v6,1,Collection,7,7,1.0
CHORUS,agentic,v6,2,Collection,7,4,0.5714
CHORUS,agentic,v6,3,Collection,7,5,0.7143
CM4AI,api,v7,1,Collection,7,5,0.7143
CM4AI,api,v7,2,Collection,7,6,0.8571
CM4AI,api,v7,3,Collection,7,7,1.0
CM4AI,api,v8,1,Collection,7,6,0.8571
CM4AI,api,v8,2,Collection,7,5,0.7143
CM4AI,api,v8,3,Collection,7,5,0.7143
CM4AI,agentic,v6,1,Collection,7,5,0.7143
CM4AI,agentic,v6,2,Collection,7,6,0.8571
CM4AI,agentic,v6,3,Collection,7,6,0.8571
VOICE,api,v7,1,Collection,7,7,1.0
VOICE,api,v7,2,Collection,7,7,1.0
VOICE,api,v7,3,Collection,7,7,1.0
VOICE,api,v8,1,Collection,7,7,1.0
VOICE,api,v8,2,Collection,7,6,0.8571
VOICE,api,v8,3,Collection,7,7,1.0
VOICE,agentic,v6,1,Collection,7,7,1.0
VOICE,agentic,v6,2,Collection,7,7,1.0
VOICE,agentic,v6,3,Collection,7,7,1.0
AI_READI,api,v7,1,Preprocessing,7,3,0.4286
AI_READI,api,v7,2,Preprocessing,7,3,0.4286
AI_READI,api,v7,3,Preprocessing,7,3,0.4286
AI_READI,api,v8,1,Preprocessing,7,2,0.2857
AI_READI,api,v8,2,Preprocessing,7,3,0.4286
AI_READI,api,v8,3,Preprocessing,7,3,0.4286
AI_READI,agentic,v6,1,Preprocessing,7,4,0.5714
AI_READI,agentic,v6,2,Preprocessing,7,4,0.5714
AI_READI,agentic,v6,3,Preprocessing,7,4,0.5714
CHORUS,api,v7,1,Preprocessing,7,3,0.4286
CHORUS,api,v7,2,Preprocessing,7,4,0.5714
CHORUS,api,v7,3,Preprocessing,7,4,0.5714
CHORUS,api,v8,1,Preprocessing,7,3,0.4286
CHORUS,api,v8,2,Preprocessing,7,2,0.2857
CHORUS,api,v8,3,Preprocessing,7,4,0.5714
CHORUS,agentic,v6,1,Preprocessing,7,5,0.7143
CHORUS,agentic,v6,2,Preprocessing,7,4,0.5714
CHORUS,agentic,v6,3,Preprocessing,7,4,0.5714
CM4AI,api,v7,1,Preprocessing,7,5,0.7143
CM4AI,api,v7,2,Preprocessing,7,3,0.4286
CM4AI,api,v7,3,Preprocessing,7,3,0.4286
CM4AI,api,v8,1,Preprocessing,7,2,0.2857
CM4AI,api,v8,2,Preprocessing,7,0,0.0
CM4AI,api,v8,3,Preprocessing,7,0,0.0
CM4AI,agentic,v6,1,Preprocessing,7,4,0.5714
CM4AI,agentic,v6,2,Preprocessing,7,2,0.2857
CM4AI,agentic,v6,3,Preprocessing,7,3,0.4286
VOICE,api,v7,1,Preprocessing,7,4,0.5714
VOICE,api,v7,2,Preprocessing,7,5,0.7143
VOICE,api,v7,3,Preprocessing,7,4,0.5714
VOICE,api,v8,1,Preprocessing,7,4,0.5714
VOICE,api,v8,2,Preprocessing,7,5,0.7143
VOICE,api,v8,3,Preprocessing,7,4,0.5714
VOICE,agentic,v6,1,Preprocessing,7,6,0.8571
VOICE,agentic,v6,2,Preprocessing,7,5,0.7143
VOICE,agentic,v6,3,Preprocessing,7,5,0.7143
AI_READI,api,v7,1,Uses,7,4,0.5714
AI_READI,api,v7,2,Uses,7,4,0.5714
AI_READI,api,v7,3,Uses,7,4,0.5714
AI_READI,api,v8,1,Uses,7,4,0.5714
AI_READI,api,v8,2,Uses,7,3,0.4286
AI_READI,api,v8,3,Uses,7,3,0.4286
AI_READI,agentic,v6,1,Uses,7,4,0.5714
AI_READI,agentic,v6,2,Uses,7,3,0.4286
AI_READI,agentic,v6,3,Uses,7,4,0.5714
CHORUS,api,v7,1,Uses,7,3,0.4286
CHORUS,api,v7,2,Uses,7,2,0.2857
CHORUS,api,v7,3,Uses,7,4,0.5714
CHORUS,api,v8,1,Uses,7,2,0.2857
CHORUS,api,v8,2,Uses,7,4,0.5714
CHORUS,api,v8,3,Uses,7,4,0.5714
CHORUS,agentic,v6,1,Uses,7,2,0.2857
CHORUS,agentic,v6,2,Uses,7,2,0.2857
CHORUS,agentic,v6,3,Uses,7,3,0.4286
CM4AI,api,v7,1,Uses,7,6,0.8571
CM4AI,api,v7,2,Uses,7,6,0.8571
CM4AI,api,v7,3,Uses,7,5,0.7143
CM4AI,api,v8,1,Uses,7,3,0.4286
CM4AI,api,v8,2,Uses,7,3,0.4286
CM4AI,api,v8,3,Uses,7,2,0.2857
CM4AI,agentic,v6,1,Uses,7,4,0.5714
CM4AI,agentic,v6,2,Uses,7,3,0.4286
CM4AI,agentic,v6,3,Uses,7,4,0.5714
VOICE,api,v7,1,Uses,7,5,0.7143
VOICE,api,v7,2,Uses,7,5,0.7143
VOICE,api,v7,3,Uses,7,5,0.7143
VOICE,api,v8,1,Uses,7,6,0.8571
VOICE,api,v8,2,Uses,7,5,0.7143
VOICE,api,v8,3,Uses,7,5,0.7143
VOICE,agentic,v6,1,Uses,7,5,0.7143
VOICE,agentic,v6,2,Uses,7,5,0.7143
VOICE,agentic,v6,3,Uses,7,5,0.7143
