project,arm,cohort,rep,path,n_slots,n_populated,n_caveat_only,fraction_populated
AI_READI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,97,78,0,0.8041
AI_READI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,97,80,0,0.8247
AI_READI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,97,78,0,0.8041
AI_READI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,97,78,0,0.8041
AI_READI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,97,79,0,0.8144
AI_READI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,97,78,0,0.8041
AI_READI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/AI_READI_d4d.yaml,97,81,1,0.8351
AI_READI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/AI_READI_d4d.yaml,97,78,1,0.8041
AI_READI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/AI_READI_d4d.yaml,97,79,0,0.8144
CHORUS,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,97,52,3,0.5361
CHORUS,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,97,47,1,0.4845
CHORUS,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d.yaml,97,52,5,0.5361
CHORUS,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d.yaml,97,51,2,0.5258
CHORUS,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d.yaml,97,54,1,0.5567
CHORUS,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_d4d.yaml,97,54,2,0.5567
CHORUS,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CHORUS_d4d.yaml,97,46,1,0.4742
CHORUS,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CHORUS_d4d.yaml,97,42,2,0.433
CHORUS,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CHORUS_d4d.yaml,97,49,2,0.5052
CM4AI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_d4d.yaml,97,69,4,0.7113
CM4AI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_d4d.yaml,97,72,4,0.7423
CM4AI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_d4d.yaml,97,61,2,0.6289
CM4AI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_d4d.yaml,97,58,0,0.5979
CM4AI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_d4d.yaml,97,61,0,0.6289
CM4AI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_d4d.yaml,97,58,0,0.5979
CM4AI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CM4AI_d4d.yaml,97,52,2,0.5361
CM4AI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CM4AI_d4d.yaml,97,56,2,0.5773
CM4AI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CM4AI_d4d.yaml,97,58,0,0.5979
VOICE,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_d4d.yaml,97,76,0,0.7835
VOICE,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_d4d.yaml,97,81,1,0.8351
VOICE,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_d4d.yaml,97,80,0,0.8247
VOICE,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_d4d.yaml,97,79,2,0.8144
VOICE,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_d4d.yaml,97,77,2,0.7938
VOICE,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_d4d.yaml,97,79,1,0.8144
VOICE,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/VOICE_d4d.yaml,97,77,1,0.7938
VOICE,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/VOICE_d4d.yaml,97,75,1,0.7732
VOICE,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/VOICE_d4d.yaml,97,78,0,0.8041
