project,cohort,generation_rep,derived_equals_sibling,full_top_slots,core_top_slots,distributions,dialect_derived,full_shared,full_resources,full_only,core_shared,core_resources,core_constructed,full_total,core_total,pair_errors,pair_warnings,semantic_review_required,distribution_matches,unmatched_core_distributions,input,core_sibling,y
AI_READI,v7,1,True,79,66,10,False,315,0,281,315,0,80,596,395,0,1,True,10,0,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d_core.yaml,0.0
AI_READI,v7,2,True,81,68,9,False,295,0,206,295,0,74,501,369,0,1,True,9,0,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d_core.yaml,1.0
AI_READI,v7,3,True,79,65,9,False,296,0,175,296,0,75,471,371,0,1,True,9,0,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d_core.yaml,2.0
AI_READI,v8,1,True,79,66,19,False,298,0,248,298,0,111,546,409,0,1,True,19,0,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d_core.yaml,3.0
AI_READI,v8,2,True,80,66,19,False,316,0,247,316,0,117,563,433,0,1,True,19,0,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d_core.yaml,4.0
AI_READI,v8,3,True,79,65,10,False,276,0,196,276,0,81,472,357,0,1,True,10,0,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d_core.yaml,5.0
CHORUS,v7,1,True,53,49,0,False,211,0,10,211,0,2,221,213,0,0,False,,,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d_core.yaml,6.9
CHORUS,v7,2,True,48,45,0,False,177,0,7,177,0,2,184,179,0,0,False,,,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d_core.yaml,7.9
CHORUS,v7,3,True,53,49,0,False,218,0,10,218,0,2,228,220,0,0,False,,,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d_core.yaml,8.9
CHORUS,v8,1,True,52,49,5,False,214,0,40,214,0,27,254,241,0,1,True,5,0,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d_core.yaml,9.9
CHORUS,v8,2,True,55,50,0,False,222,0,73,222,0,2,295,224,0,0,False,,,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d.yaml,data/d4d_concatenated/claudecode_api_core/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d_core.yaml,10.9
