job_id,project,cohort,generation_rep,rating,purpose,rubric,instrument_version,total_points,max_points,adjusted_max_points,fixed_pct,adjusted_pct,x
AI_READI_v7_rep1_r10_rating1,AI_READI,v7,1,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,-0.22
AI_READI_v7_rep1_r10_rating2,AI_READI,v7,1,2,repeatability,rubric10-semantic,1.2,49,50,50,98.0,98.0,-0.22
AI_READI_v7_rep1_r10_rating3,AI_READI,v7,1,3,repeatability,rubric10-semantic,1.2,49,50,50,98.0,98.0,-0.22
AI_READI_v7_rep2_r10_rating1,AI_READI,v7,2,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,0.0
AI_READI_v7_rep3_r10_rating1,AI_READI,v7,3,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,0.22
AI_READI_v8_rep1_r10_rating1,AI_READI,v8,1,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,0.78
AI_READI_v8_rep2_r10_rating1,AI_READI,v8,2,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,1.0
AI_READI_v8_rep3_r10_rating1,AI_READI,v8,3,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,1.22
CHORUS_v7_rep1_r10_rating1,CHORUS,v7,1,1,primary,rubric10-semantic,1.2,34,50,50,68.0,68.0,2.38
CHORUS_v7_rep1_r10_rating2,CHORUS,v7,1,2,repeatability,rubric10-semantic,1.2,35,50,50,70.0,70.0,2.38
CHORUS_v7_rep1_r10_rating3,CHORUS,v7,1,3,repeatability,rubric10-semantic,1.2,34,50,50,68.0,68.0,2.38
CHORUS_v7_rep2_r10_rating1,CHORUS,v7,2,1,primary,rubric10-semantic,1.2,30,50,50,60.0,60.0,2.6
CHORUS_v7_rep3_r10_rating1,CHORUS,v7,3,1,primary,rubric10-semantic,1.2,33,50,50,66.0,66.0,2.82
CHORUS_v8_rep1_r10_rating1,CHORUS,v8,1,1,primary,rubric10-semantic,1.2,34,50,50,68.0,68.0,3.38
CHORUS_v8_rep2_r10_rating1,CHORUS,v8,2,1,primary,rubric10-semantic,1.2,36,50,50,72.0,72.0,3.6
CHORUS_v8_rep3_r10_rating1,CHORUS,v8,3,1,primary,rubric10-semantic,1.2,33,50,50,66.0,66.0,3.82
CM4AI_v7_rep1_r10_rating1,CM4AI,v7,1,1,primary,rubric10-semantic,1.2,43,50,47,86.0,91.49,4.98
