rubric,item_id,group,item,project,cohort,generation_rep,rating,score,item_max,score_type,state,repeat_ratings_disagree
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CHORUS,v7,1,1,0,1,binary,scored,no
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CHORUS,v7,2,1,0,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CHORUS,v7,3,1,0,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CHORUS,v8,1,1,0,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CHORUS,v8,2,1,0,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CHORUS,v8,3,1,0,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",VOICE,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.1,Dataset Discovery and Identification,"Persistent Identifier (DOI, RRID, or URI)",VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CHORUS,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CHORUS,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CHORUS,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CHORUS,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CHORUS,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CHORUS,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,VOICE,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.2,Dataset Discovery and Identification,Dataset Title and Description Completeness,VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CHORUS,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CHORUS,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CHORUS,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CHORUS,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CHORUS,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CHORUS,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,VOICE,v7,1,1,0,1,binary,scored,no
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,VOICE,v7,2,1,0,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,VOICE,v7,3,1,0,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,VOICE,v8,1,1,0,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,VOICE,v8,2,1,0,1,binary,scored,
rubric10-semantic,E1.3,Dataset Discovery and Identification,Keywords or Tags for Searchability,VOICE,v8,3,1,0,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CHORUS,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CHORUS,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CHORUS,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CHORUS,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CHORUS,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CHORUS,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",VOICE,v7,3,1,1,1,binary,scored,
