label,method,project,cohort,rep,chunk_count,extracted,redundant_with,nothing_relevant,duplicate_of,no_entry,receipt_entries_not_in_manifest,provenance_reviewed,bundle_md5,md5_receipt_manifest_provenance_agree,chunk_manifest,receipt_snippets_total,receipt_snippets_verified,receipt_slots_cited,receipt_slots_unresolved_in_final,receipt,provenance
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,AI_READI,v7,1,28,21,3,4,0,0,0,28,8abd7bf5389b562b95794d656af19392,True,data/preprocessed/chunks/AI_READI_chunks.yaml@77beef2837,243,221,212,9,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,CHORUS,v7,1,8,7,0,1,0,0,0,8,9b2ef4b65d67957f79362266cab0bc7a,True,data/preprocessed/chunks/CHORUS_chunks.yaml@debe40eac6,81,80,71,3,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,CM4AI,v7,1,28,18,3,7,0,0,0,28,50037fc631eafda807e19f83f6579818,True,data/preprocessed/chunks/CM4AI_chunks.yaml@b8f2aa4616,116,90,103,12,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,VOICE,v7,1,22,20,0,2,0,0,0,22,dcd717170da6762569c0b4eeafc1c3d2,True,data/preprocessed/chunks/VOICE_chunks.yaml@d8e9a4d2bb,154,145,138,5,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,AI_READI,v7,2,28,23,2,3,0,0,0,28,8abd7bf5389b562b95794d656af19392,True,data/preprocessed/chunks/AI_READI_chunks.yaml@b01b7d6037,212,202,198,4,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,CHORUS,v7,2,8,7,0,1,0,0,0,8,9b2ef4b65d67957f79362266cab0bc7a,True,data/preprocessed/chunks/CHORUS_chunks.yaml@b01b7d6037,100,99,65,15,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,CM4AI,v7,2,28,20,3,5,0,0,0,28,50037fc631eafda807e19f83f6579818,True,data/preprocessed/chunks/CM4AI_chunks.yaml@b01b7d6037,135,97,119,7,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,VOICE,v7,2,22,18,1,3,0,0,0,22,dcd717170da6762569c0b4eeafc1c3d2,True,data/preprocessed/chunks/VOICE_chunks.yaml@b01b7d6037,137,132,126,6,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,AI_READI,v7,3,28,22,2,4,0,0,0,28,8abd7bf5389b562b95794d656af19392,True,data/preprocessed/chunks/AI_READI_chunks.yaml@b01b7d6037,208,204,190,6,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,CHORUS,v7,3,8,7,0,1,0,0,0,8,9b2ef4b65d67957f79362266cab0bc7a,True,data/preprocessed/chunks/CHORUS_chunks.yaml@b01b7d6037,108,107,90,9,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,CM4AI,v7,3,28,14,3,11,0,0,0,28,50037fc631eafda807e19f83f6579818,True,data/preprocessed/chunks/CM4AI_chunks.yaml@b01b7d6037,81,73,74,6,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_provenance.yaml
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,VOICE,v7,3,22,19,0,3,0,0,0,22,dcd717170da6762569c0b4eeafc1c3d2,True,data/preprocessed/chunks/VOICE_chunks.yaml@b01b7d6037,158,146,137,1,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_coverage_receipt.yaml,data/d4d_concatenated/claudecode_agent_core/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_provenance.yaml
