project,module,document_id,source_type,mean_fields_per_run,total_fields,n_runs
AI_READI,Metadata (Information),ro_crate_metadata,RO-Crate,1.33,8,6
AI_READI,Metadata (Information),fairhub_dataset_v3_api,structured metadata,8.17,49,6
AI_READI,Metadata (Information),fairhub_dataset,data resource,0.0,0,6
AI_READI,Metadata (Information),fairhub_dataset_v3,data resource,1.83,11,6
AI_READI,Metadata (Information),dataset_documentation,documentation,0.0,0,6
AI_READI,Metadata (Information),dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Metadata (Information),dataset_license,license,0.33,2,6
AI_READI,Metadata (Information),irb_protocol,IRB,0.0,0,6
AI_READI,Metadata (Information),bmj_protocol_publication,publication,0.17,1,6
AI_READI,Metadata (Information),nature_metabolism_publication,publication,0.83,5,6
AI_READI,Metadata (Information),nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Metadata (Information),bundle preamble,bundle preamble,0.0,0,6
AI_READI,Motivation,ro_crate_metadata,RO-Crate,1.17,7,6
AI_READI,Motivation,fairhub_dataset_v3_api,structured metadata,8.17,49,6
AI_READI,Motivation,fairhub_dataset,data resource,0.0,0,6
AI_READI,Motivation,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Motivation,dataset_documentation,documentation,0.0,0,6
AI_READI,Motivation,dataset_documentation_v3,documentation,0.17,1,6
AI_READI,Motivation,dataset_license,license,0.0,0,6
AI_READI,Motivation,irb_protocol,IRB,0.0,0,6
AI_READI,Motivation,bmj_protocol_publication,publication,2.67,16,6
AI_READI,Motivation,nature_metabolism_publication,publication,3.67,22,6
AI_READI,Motivation,nih_reporter_project,NIH project page,3.17,19,6
AI_READI,Motivation,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Composition,ro_crate_metadata,RO-Crate,6.0,36,6
AI_READI,Composition,fairhub_dataset_v3_api,structured metadata,25.33,152,6
AI_READI,Composition,fairhub_dataset,data resource,0.83,5,6
AI_READI,Composition,fairhub_dataset_v3,data resource,0.5,3,6
AI_READI,Composition,dataset_documentation,documentation,0.17,1,6
AI_READI,Composition,dataset_documentation_v3,documentation,2.17,13,6
AI_READI,Composition,dataset_license,license,0.0,0,6
AI_READI,Composition,irb_protocol,IRB,2.0,12,6
AI_READI,Composition,bmj_protocol_publication,publication,4.5,27,6
AI_READI,Composition,nature_metabolism_publication,publication,2.17,13,6
AI_READI,Composition,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Composition,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Collection,ro_crate_metadata,RO-Crate,1.67,10,6
AI_READI,Collection,fairhub_dataset_v3_api,structured metadata,16.5,99,6
AI_READI,Collection,fairhub_dataset,data resource,0.0,0,6
AI_READI,Collection,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Collection,dataset_documentation,documentation,0.0,0,6
AI_READI,Collection,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Collection,dataset_license,license,0.0,0,6
AI_READI,Collection,irb_protocol,IRB,3.83,23,6
AI_READI,Collection,bmj_protocol_publication,publication,12.0,72,6
AI_READI,Collection,nature_metabolism_publication,publication,1.0,6,6
AI_READI,Collection,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Collection,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Preprocessing,ro_crate_metadata,RO-Crate,0.0,0,6
AI_READI,Preprocessing,fairhub_dataset_v3_api,structured metadata,4.17,25,6
AI_READI,Preprocessing,fairhub_dataset,data resource,0.0,0,6
AI_READI,Preprocessing,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Preprocessing,dataset_documentation,documentation,0.0,0,6
AI_READI,Preprocessing,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Preprocessing,dataset_license,license,0.0,0,6
AI_READI,Preprocessing,irb_protocol,IRB,0.0,0,6
AI_READI,Preprocessing,bmj_protocol_publication,publication,2.17,13,6
AI_READI,Preprocessing,nature_metabolism_publication,publication,0.17,1,6
AI_READI,Preprocessing,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Preprocessing,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Uses,ro_crate_metadata,RO-Crate,0.0,0,6
AI_READI,Uses,fairhub_dataset_v3_api,structured metadata,1.17,7,6
AI_READI,Uses,fairhub_dataset,data resource,0.0,0,6
AI_READI,Uses,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Uses,dataset_documentation,documentation,0.0,0,6
AI_READI,Uses,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Uses,dataset_license,license,5.83,35,6
AI_READI,Uses,irb_protocol,IRB,0.33,2,6
AI_READI,Uses,bmj_protocol_publication,publication,0.0,0,6
AI_READI,Uses,nature_metabolism_publication,publication,0.67,4,6
AI_READI,Uses,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Uses,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Distribution,ro_crate_metadata,RO-Crate,0.0,0,6
AI_READI,Distribution,fairhub_dataset_v3_api,structured metadata,3.67,22,6
AI_READI,Distribution,fairhub_dataset,data resource,0.0,0,6
AI_READI,Distribution,fairhub_dataset_v3,data resource,0.83,5,6
AI_READI,Distribution,dataset_documentation,documentation,0.0,0,6
AI_READI,Distribution,dataset_documentation_v3,documentation,0.17,1,6
AI_READI,Distribution,dataset_license,license,0.17,1,6
AI_READI,Distribution,irb_protocol,IRB,0.17,1,6
AI_READI,Distribution,bmj_protocol_publication,publication,0.17,1,6
AI_READI,Distribution,nature_metabolism_publication,publication,0.0,0,6
AI_READI,Distribution,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Distribution,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Data Governance,ro_crate_metadata,RO-Crate,3.17,19,6
AI_READI,Data Governance,fairhub_dataset_v3_api,structured metadata,4.0,24,6
AI_READI,Data Governance,fairhub_dataset,data resource,0.33,2,6
AI_READI,Data Governance,fairhub_dataset_v3,data resource,0.5,3,6
AI_READI,Data Governance,dataset_documentation,documentation,0.0,0,6
AI_READI,Data Governance,dataset_documentation_v3,documentation,0.5,3,6
AI_READI,Data Governance,dataset_license,license,4.0,24,6
AI_READI,Data Governance,irb_protocol,IRB,0.33,2,6
AI_READI,Data Governance,bmj_protocol_publication,publication,1.17,7,6
AI_READI,Data Governance,nature_metabolism_publication,publication,0.0,0,6
AI_READI,Data Governance,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Data Governance,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Maintenance,ro_crate_metadata,RO-Crate,0.67,4,6
AI_READI,Maintenance,fairhub_dataset_v3_api,structured metadata,5.67,34,6
AI_READI,Maintenance,fairhub_dataset,data resource,0.83,5,6
AI_READI,Maintenance,fairhub_dataset_v3,data resource,1.17,7,6
AI_READI,Maintenance,dataset_documentation,documentation,0.17,1,6
AI_READI,Maintenance,dataset_documentation_v3,documentation,0.17,1,6
AI_READI,Maintenance,dataset_license,license,0.0,0,6
AI_READI,Maintenance,irb_protocol,IRB,0.17,1,6
AI_READI,Maintenance,bmj_protocol_publication,publication,0.5,3,6
AI_READI,Maintenance,nature_metabolism_publication,publication,0.5,3,6
AI_READI,Maintenance,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Maintenance,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Ethics,ro_crate_metadata,RO-Crate,2.0,12,6
AI_READI,Ethics,fairhub_dataset_v3_api,structured metadata,4.0,24,6
AI_READI,Ethics,fairhub_dataset,data resource,0.0,0,6
AI_READI,Ethics,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Ethics,dataset_documentation,documentation,0.0,0,6
AI_READI,Ethics,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Ethics,dataset_license,license,0.0,0,6
AI_READI,Ethics,irb_protocol,IRB,0.83,5,6
AI_READI,Ethics,bmj_protocol_publication,publication,2.0,12,6
AI_READI,Ethics,nature_metabolism_publication,publication,0.17,1,6
AI_READI,Ethics,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Ethics,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Human,ro_crate_metadata,RO-Crate,2.17,13,6
AI_READI,Human,fairhub_dataset_v3_api,structured metadata,5.67,34,6
AI_READI,Human,fairhub_dataset,data resource,0.0,0,6
AI_READI,Human,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Human,dataset_documentation,documentation,0.0,0,6
AI_READI,Human,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Human,dataset_license,license,0.0,0,6
AI_READI,Human,irb_protocol,IRB,5.0,30,6
AI_READI,Human,bmj_protocol_publication,publication,2.0,12,6
AI_READI,Human,nature_metabolism_publication,publication,1.0,6,6
AI_READI,Human,nih_reporter_project,NIH project page,0.17,1,6
AI_READI,Human,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Variables,ro_crate_metadata,RO-Crate,0.83,5,6
AI_READI,Variables,fairhub_dataset_v3_api,structured metadata,2.17,13,6
AI_READI,Variables,fairhub_dataset,data resource,0.0,0,6
AI_READI,Variables,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,Variables,dataset_documentation,documentation,0.0,0,6
AI_READI,Variables,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,Variables,dataset_license,license,0.0,0,6
AI_READI,Variables,irb_protocol,IRB,0.17,1,6
AI_READI,Variables,bmj_protocol_publication,publication,13.17,79,6
AI_READI,Variables,nature_metabolism_publication,publication,0.17,1,6
AI_READI,Variables,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,Variables,bundle preamble,bundle preamble,0.0,0,6
AI_READI,FileCollection,ro_crate_metadata,RO-Crate,5.33,32,6
AI_READI,FileCollection,fairhub_dataset_v3_api,structured metadata,29.33,176,6
AI_READI,FileCollection,fairhub_dataset,data resource,0.0,0,6
AI_READI,FileCollection,fairhub_dataset_v3,data resource,0.0,0,6
AI_READI,FileCollection,dataset_documentation,documentation,0.0,0,6
AI_READI,FileCollection,dataset_documentation_v3,documentation,0.0,0,6
AI_READI,FileCollection,dataset_license,license,0.0,0,6
AI_READI,FileCollection,irb_protocol,IRB,0.0,0,6
AI_READI,FileCollection,bmj_protocol_publication,publication,0.0,0,6
AI_READI,FileCollection,nature_metabolism_publication,publication,0.0,0,6
AI_READI,FileCollection,nih_reporter_project,NIH project page,0.0,0,6
AI_READI,FileCollection,bundle preamble,bundle preamble,0.0,0,6
AI_READI,Dataset (top level),ro_crate_metadata,RO-Crate,1.67,10,6
AI_READI,Dataset (top level),fairhub_dataset_v3_api,structured metadata,6.0,36,6
AI_READI,Dataset (top level),fairhub_dataset,data resource,0.0,0,6
AI_READI,Dataset (top level),fairhub_dataset_v3,data resource,1.17,7,6
AI_READI,Dataset (top level),dataset_documentation,documentation,0.0,0,6
AI_READI,Dataset (top level),dataset_documentation_v3,documentation,1.17,7,6
AI_READI,Dataset (top level),dataset_license,license,0.17,1,6
AI_READI,Dataset (top level),irb_protocol,IRB,1.5,9,6
AI_READI,Dataset (top level),bmj_protocol_publication,publication,1.0,6,6
AI_READI,Dataset (top level),nature_metabolism_publication,publication,0.5,3,6
AI_READI,Dataset (top level),nih_reporter_project,NIH project page,0.83,5,6
AI_READI,Dataset (top level),bundle preamble,bundle preamble,0.0,0,6
CHORUS,Metadata (Information),project_documentation,documentation,0.67,4,6
CHORUS,Metadata (Information),nih_reporter_project,NIH project page,1.83,11,6
CHORUS,Metadata (Information),cohort_2_webinar,tutorial,0.67,4,6
CHORUS,Metadata (Information),github_organization_overview,historical documentation,0.17,1,6
CHORUS,Metadata (Information),bundle preamble,bundle preamble,0.0,0,6
CHORUS,Motivation,project_documentation,documentation,2.67,16,6
CHORUS,Motivation,nih_reporter_project,NIH project page,9.83,59,6
CHORUS,Motivation,cohort_2_webinar,tutorial,3.83,23,6
CHORUS,Motivation,github_organization_overview,historical documentation,2.0,12,6
CHORUS,Motivation,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Composition,project_documentation,documentation,5.17,31,6
CHORUS,Composition,nih_reporter_project,NIH project page,2.5,15,6
CHORUS,Composition,cohort_2_webinar,tutorial,7.0,42,6
CHORUS,Composition,github_organization_overview,historical documentation,3.5,21,6
CHORUS,Composition,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Collection,project_documentation,documentation,0.83,5,6
CHORUS,Collection,nih_reporter_project,NIH project page,1.17,7,6
CHORUS,Collection,cohort_2_webinar,tutorial,1.83,11,6
CHORUS,Collection,github_organization_overview,historical documentation,2.17,13,6
CHORUS,Collection,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Preprocessing,project_documentation,documentation,0.17,1,6
CHORUS,Preprocessing,nih_reporter_project,NIH project page,2.5,15,6
CHORUS,Preprocessing,cohort_2_webinar,tutorial,0.17,1,6
CHORUS,Preprocessing,github_organization_overview,historical documentation,4.33,26,6
CHORUS,Preprocessing,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Uses,project_documentation,documentation,0.17,1,6
CHORUS,Uses,nih_reporter_project,NIH project page,1.33,8,6
CHORUS,Uses,cohort_2_webinar,tutorial,3.0,18,6
CHORUS,Uses,github_organization_overview,historical documentation,0.33,2,6
CHORUS,Uses,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Distribution,project_documentation,documentation,0.0,0,6
CHORUS,Distribution,nih_reporter_project,NIH project page,0.0,0,6
CHORUS,Distribution,cohort_2_webinar,tutorial,3.0,18,6
CHORUS,Distribution,github_organization_overview,historical documentation,0.17,1,6
CHORUS,Distribution,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Data Governance,project_documentation,documentation,0.17,1,6
CHORUS,Data Governance,nih_reporter_project,NIH project page,0.33,2,6
CHORUS,Data Governance,cohort_2_webinar,tutorial,2.33,14,6
CHORUS,Data Governance,github_organization_overview,historical documentation,1.83,11,6
CHORUS,Data Governance,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Maintenance,project_documentation,documentation,1.67,10,6
CHORUS,Maintenance,nih_reporter_project,NIH project page,0.0,0,6
CHORUS,Maintenance,cohort_2_webinar,tutorial,0.0,0,6
CHORUS,Maintenance,github_organization_overview,historical documentation,2.67,16,6
CHORUS,Maintenance,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Ethics,project_documentation,documentation,1.0,6,6
CHORUS,Ethics,nih_reporter_project,NIH project page,1.0,6,6
CHORUS,Ethics,cohort_2_webinar,tutorial,0.0,0,6
CHORUS,Ethics,github_organization_overview,historical documentation,0.17,1,6
CHORUS,Ethics,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Human,project_documentation,documentation,0.17,1,6
CHORUS,Human,nih_reporter_project,NIH project page,0.67,4,6
CHORUS,Human,cohort_2_webinar,tutorial,0.0,0,6
CHORUS,Human,github_organization_overview,historical documentation,0.5,3,6
CHORUS,Human,bundle preamble,bundle preamble,0.0,0,6
CHORUS,Variables,project_documentation,documentation,0.0,0,6
CHORUS,Variables,nih_reporter_project,NIH project page,0.0,0,6
CHORUS,Variables,cohort_2_webinar,tutorial,0.0,0,6
CHORUS,Variables,github_organization_overview,historical documentation,0.0,0,6
CHORUS,Variables,bundle preamble,bundle preamble,0.0,0,6
CHORUS,FileCollection,project_documentation,documentation,0.0,0,6
