label,project,cohort,rep,module,document_id,source_type,fields
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Collection,bmj_protocol_publication,publication,16
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Collection,fairhub_dataset_v3_api,structured metadata,9
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Collection,irb_protocol,IRB,4
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Collection,ro_crate_metadata,RO-Crate,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Composition,bmj_protocol_publication,publication,4
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Composition,dataset_documentation_v3,documentation,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Composition,fairhub_dataset_v3_api,structured metadata,22
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Composition,irb_protocol,IRB,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Composition,nature_metabolism_publication,publication,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Composition,ro_crate_metadata,RO-Crate,5
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Data Governance,bmj_protocol_publication,publication,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Data Governance,dataset_documentation_v3,documentation,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Data Governance,dataset_license,license,4
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Data Governance,fairhub_dataset_v3_api,structured metadata,3
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Data Governance,ro_crate_metadata,RO-Crate,2
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Dataset (top level),bmj_protocol_publication,publication,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Dataset (top level),dataset_documentation_v3,documentation,1
2026-09-01_claude-opus-5-api-generic-v7_rep1,AI_READI,v7,1,Dataset (top level),fairhub_dataset_v3,data resource,3
