label,method,project,cohort,rep,populated,with_receipt,added_after_receipt,never_receipted,exempt,receiptable,share_receipted_of_populated,share_receipted_of_receiptable,value_changed_after_receipt
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,AI_READI,v7,1,562,160,17,321,64,498,0.2847,0.3213,21
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,CHORUS,v7,1,199,58,16,95,30,169,0.2915,0.3432,23
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,CM4AI,v7,1,458,132,29,259,38,420,0.2882,0.3143,18
2026-09-01_claude-opus-5-api-generic-v7_rep1,claudecode_agent,VOICE,v7,1,306,121,3,164,18,288,0.3954,0.4201,11
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,AI_READI,v7,2,478,208,3,228,39,439,0.4351,0.4738,10
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,CHORUS,v7,2,168,48,12,82,26,142,0.2857,0.338,5
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,CM4AI,v7,2,480,153,13,247,67,413,0.3187,0.3705,21
2026-09-01_claude-opus-5-api-generic-v7_rep2,claudecode_agent,VOICE,v7,2,375,96,36,206,37,338,0.256,0.284,8
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,AI_READI,v7,3,440,166,53,162,59,381,0.3773,0.4357,44
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,CHORUS,v7,3,210,67,2,109,32,178,0.319,0.3764,4
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,CM4AI,v7,3,358,59,15,196,88,270,0.1648,0.2185,6
2026-09-01_claude-opus-5-api-generic-v7_rep3,claudecode_agent,VOICE,v7,3,440,117,104,148,71,369,0.2659,0.3171,13
2026-09-04f_claude-opus-5-api-generic-v8_rep1,claudecode_api,CHORUS,v8,1,235,54,5,127,49,186,0.2298,0.2903,9
2026-09-04f_claude-opus-5-api-generic-v8_rep1,claudecode_api,VOICE,v8,1,386,223,4,116,43,343,0.5777,0.6501,12
2026-09-04f_claude-opus-5-api-generic-v8_rep2,claudecode_api,CHORUS,v8,2,278,83,8,157,30,248,0.2986,0.3347,18
2026-09-04f_claude-opus-5-api-generic-v8_rep2,claudecode_api,VOICE,v8,2,297,141,0,120,36,261,0.4747,0.5402,19
2026-09-04f_claude-opus-5-api-generic-v8_rep3,claudecode_api,CHORUS,v8,3,251,78,2,118,53,198,0.3108,0.3939,14
2026-09-04f_claude-opus-5-api-generic-v8_rep3,claudecode_api,VOICE,v8,3,432,220,3,159,50,382,0.5093,0.5759,14
2026-09-04g_claude-opus-5-api-generic-v8_rep1,claudecode_api,AI_READI,v8,1,525,280,8,192,45,480,0.5333,0.5833,8
2026-09-04g_claude-opus-5-api-generic-v8_rep1,claudecode_api,CM4AI,v8,1,422,279,0,95,48,374,0.6611,0.746,2
2026-09-04g_claude-opus-5-api-generic-v8_rep2,claudecode_api,AI_READI,v8,2,525,163,7,250,105,420,0.3105,0.3881,16
2026-09-04g_claude-opus-5-api-generic-v8_rep2,claudecode_api,CM4AI,v8,2,473,312,3,109,49,424,0.6596,0.7358,28
2026-09-04g_claude-opus-5-api-generic-v8_rep3,claudecode_api,AI_READI,v8,3,449,251,1,137,60,389,0.559,0.6452,9
2026-09-04g_claude-opus-5-api-generic-v8_rep3,claudecode_api,CM4AI,v8,3,479,226,8,155,90,389,0.4718,0.581,70
