label,project,method,arm,date,audit_artifact,audit_status,drawn,exclusion,canonical,findings_total,findings_unsupported claim,findings_missing supported information,findings_inconsistent identifier/count,findings_dataset/release/temporal scope error,findings_other,severity_high,severity_major,severity_moderate,severity_medium,severity_low,severity_minor,severity_info,severity_unclassified,repair_rounds_applied,final_record_equals,before_artifact,after_artifact,fields_removed,fields_added,fields_changed,caveats_added,leaves_before,leaves_after
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,AI_READI,claudecode_agent,baseline,2026-08-06,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,29,6,6,5,4,8,2,0,0,10,17,0,0,0,3,AI_READI_repair_full_r3.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1/AI_READI_d4d.yaml,61,130,89,0,842,911
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1,CHORUS,claudecode_agent,baseline,2026-08-06,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,32,3,4,4,1,20,2,0,0,10,20,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep1/CHORUS_d4d.yaml,15,31,28,0,215,231
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,AI_READI,claudecode_agent,baseline,2026-08-06,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,41,6,10,6,1,18,2,0,0,12,27,0,0,0,3,AI_READI_repair_full_r3.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2/AI_READI_d4d.yaml,472,14,29,0,803,345
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2,CHORUS,claudecode_agent,baseline,2026-08-06,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,62,6,18,8,1,29,2,0,0,21,39,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep2/CHORUS_d4d.yaml,30,31,43,0,237,238
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3,AI_READI,claudecode_agent,baseline,2026-08-06,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,31,1,11,6,3,10,2,0,0,8,21,0,0,0,2,AI_READI_repair_full_r2.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3/AI_READI_d4d.yaml,55,40,67,0,677,662
2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3,CHORUS,claudecode_agent,baseline,2026-08-06,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,21,1,8,3,2,7,2,0,0,7,8,0,4,0,2,CHORUS_repair_full_r2.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-06_claude-opus-5-1m-generic-v3-schema2_rep3/CHORUS_d4d.yaml,16,10,12,0,255,249
2026-08-11_claude-opus-5-api-generic_rep1,AI_READI,claudecode_agent,baseline,2026-08-11,data/d4d_concatenated/claudecode_agent_core/2026-08-11_claude-opus-5-api-generic_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,31,7,4,7,5,8,2,0,0,10,19,0,0,0,3,AI_READI_repair_full_r3_2.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-11_claude-opus-5-api-generic_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-11_claude-opus-5-api-generic_rep1/AI_READI_d4d.yaml,56,101,54,11,634,679
2026-08-11_claude-opus-5-api-generic_rep1,CHORUS,claudecode_agent,baseline,2026-08-11,data/d4d_concatenated/claudecode_agent_core/2026-08-11_claude-opus-5-api-generic_rep1/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,25,9,2,2,4,8,5,0,0,9,11,0,0,0,2,CHORUS_repair_full_r2.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-11_claude-opus-5-api-generic_rep1/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-11_claude-opus-5-api-generic_rep1/CHORUS_d4d.yaml,51,26,36,13,249,224
2026-08-13_claude-opus-5-api-generic-v4_rep1,AI_READI,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,38,6,13,11,2,6,5,0,0,17,13,0,3,0,2,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep1/AI_READI_d4d.yaml,75,208,53,7,660,793
2026-08-13_claude-opus-5-api-generic-v4_rep1,CHORUS,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,33,3,9,12,1,8,4,0,0,11,18,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep1/CHORUS_d4d.yaml,40,18,19,7,393,371
