project,cohort,rep,label,slots,fit,unfit,no_fitness,support_judged,no_support,both_axes
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,79,70,9,0,0,0,0
AI_READI,v1,2,2026-07-28_claude-opus-5-generic_rep2,77,62,14,1,0,0,0
AI_READI,v1,3,2026-07-28_claude-opus-5-generic_rep3,80,66,14,0,0,0,0
AI_READI,v2,1,2026-07-31_claude-opus-5-generic-v2_rep1,70,61,9,0,0,0,0
AI_READI,v2,2,2026-07-31_claude-opus-5-generic-v2_rep2,69,65,4,0,0,0,0
AI_READI,v2,3,2026-07-31_claude-opus-5-generic-v2_rep3,70,62,8,0,0,0,0
CHORUS,v1,1,2026-07-28_claude-opus-5-generic_rep1,57,47,10,0,0,0,0
CHORUS,v1,2,2026-07-28_claude-opus-5-generic_rep2,53,39,13,1,0,0,0
CHORUS,v1,3,2026-07-28_claude-opus-5-generic_rep3,54,41,13,0,0,0,0
CHORUS,v2,1,2026-07-31_claude-opus-5-generic-v2_rep1,49,41,8,0,0,0,0
CHORUS,v2,2,2026-07-31_claude-opus-5-generic-v2_rep2,50,39,11,0,0,0,0
CHORUS,v2,3,2026-07-31_claude-opus-5-generic-v2_rep3,47,37,10,0,0,0,0
CM4AI,v1,1,2026-07-28_claude-opus-5-generic_rep1,60,46,14,0,60,0,60
CM4AI,v1,2,2026-07-28_claude-opus-5-generic_rep2,63,52,11,0,63,0,63
CM4AI,v1,3,2026-07-28_claude-opus-5-generic_rep3,69,55,14,0,69,0,69
CM4AI,v2,1,2026-07-31_claude-opus-5-generic-v2_rep1,67,62,5,0,0,0,0
CM4AI,v2,2,2026-07-31_claude-opus-5-generic-v2_rep2,72,63,9,0,0,0,0
CM4AI,v2,3,2026-07-31_claude-opus-5-generic-v2_rep3,70,64,6,0,0,0,0
VOICE,v1,1,2026-07-28_claude-opus-5-generic_rep1,76,70,6,0,0,0,0
VOICE,v1,2,2026-07-28_claude-opus-5-generic_rep2,79,73,6,0,0,0,0
VOICE,v1,3,2026-07-28_claude-opus-5-generic_rep3,75,68,7,0,0,0,0
VOICE,v2,1,2026-07-31_claude-opus-5-generic-v2_rep1,76,66,10,0,0,0,0
VOICE,v2,2,2026-07-31_claude-opus-5-generic-v2_rep2,79,78,1,0,0,0,0
VOICE,v2,3,2026-07-31_claude-opus-5-generic-v2_rep3,78,72,6,0,0,0,0
