project,cohort,generation_rep,label,arm,runtime,provider,model,usage_rows,usage_complete,phases_skipped,tokens_in_incl_cache_total,tokens_out_incl_thinking_total,seconds_recorded_total,status,usd_settled,usd_runtime_estimate,usd_catalogue_estimate,usd_partial_estimate,cost_basis,rubric20_adjusted_pct
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,1357198,166856,1901.3,reference record,,,9.9327,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",93.2
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,1563392,249189,2627.2,reference record,,,13.2708,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",94.3
AI_READI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,2,False,"full,core,audit,reconcile_full,reconcile_core,report",378479,40970,309.6,"reference record, resumed run",,,,3.0935,"partial catalogue estimate only: resumed run, api_usage lacks the skipped phases; not settled",96.6
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,1591219,185789,2118.9,reference record,,,10.537,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",93.2
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,1932972,240203,2607.2,reference record,,,13.661,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",93.2
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,1667520,193982,2846.7,reference record,,,9.9741,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",94.3
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,334087,82410,4445.5,reference record,,,3.4191,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",75.0
CHORUS,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,308306,81706,1176.8,reference record,,,3.3543,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",72.7
CHORUS,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,335456,91679,936.1,reference record,,,3.4843,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",76.1
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,448783,103862,1127.7,reference record,,,4.3726,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",76.1
