project,cohort,generation_rep,label,arm,phase,attempts,tokens_in_incl_cache,tokens_out_incl_thinking,seconds,timed_attempts
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,full,1,204187,79078,861.6,1
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,full,2,408374,172551,1914.4,2
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,full,1,210023,115100,1245.1,1
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,full,1,210023,115616,1280.1,1
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,full,1,210023,112321,1212.2,1
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,full,1,35358,35025,3982.2,1
CHORUS,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,full,1,35358,40186,442.0,1
CHORUS,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,full,1,35358,47994,523.3,1
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,full,1,37953,52066,590.9,1
CHORUS,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,full,3,113859,138793,1520.9,3
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,full,1,37953,42656,474.2,1
CM4AI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,full,2,302282,115488,1235.3,2
CM4AI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,full,1,151141,31044,1285.4,1
CM4AI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,full,1,151141,66300,725.3,1
CM4AI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,full,2,307472,80123,1659.8,2
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,full,1,153736,28124,272.6,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,full,1,153736,31614,298.3,1
VOICE,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,full,1,166685,73375,799.6,1
VOICE,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,full,1,166685,74126,821.5,1
VOICE,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,full,1,166685,80976,918.0,1
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,full,1,169396,94936,2257.5,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,full,2,338792,83716,3274.2,2
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,full,1,169396,86279,927.6,1
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,full_readdress,1,259515,50,8.7,1
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,full_readdress,1,254020,583,9.6,1
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,full_readdress,1,58066,209,4.4,1
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,full_readdress,1,182225,723,14.5,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,full_readdress,1,185758,804,12.6,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,full_readdress,1,208716,61,4.4,1
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,audit,1,234487,17648,224.5,1
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,audit,1,233401,5548,79.6,1
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,audit,1,235509,4480,64.0,1
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,audit,2,484970,41084,506.2,2
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,audit,1,237794,15723,199.9,1
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,audit,1,45145,8276,110.1,1
CHORUS,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,audit,1,44814,7892,101.0,1
CHORUS,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,audit,1,47749,7360,92.0,1
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,audit,1,50769,8622,111.1,1
CHORUS,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,audit,1,50278,13400,167.1,1
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,audit,1,51536,10711,132.9,1
CM4AI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,audit,1,170221,5681,73.5,1
CM4AI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,audit,1,173142,4657,60.6,1
CM4AI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,audit,1,170169,6028,83.4,1
CM4AI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,audit,1,170154,1838,30.1,1
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,audit,1,170235,16359,196.0,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,audit,1,171897,15013,183.0,1
VOICE,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,audit,1,184912,3497,52.0,1
VOICE,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,audit,1,187374,4033,54.1,1
VOICE,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,audit,1,186940,12941,156.0,1
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,audit,1,190628,13014,165.6,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,audit,1,191668,19508,253.1,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,audit,1,195240,15230,190.8,1
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,reconcile_full,1,238068,30927,480.9,1
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,reconcile_full,1,238965,30119,283.3,1
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,reconcile_full,2,479766,26828,419.2,2
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,reconcile_full,1,246941,34814,327.6,1
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,reconcile_full,1,240997,28127,261.4,1
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,reconcile_full,1,53437,16281,170.2,1
CHORUS,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,reconcile_full,1,48024,14270,481.4,1
CHORUS,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,reconcile_full,1,50876,14926,146.9,1
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,reconcile_full,1,53307,14483,133.7,1
CHORUS,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,reconcile_full,1,53919,15146,146.6,1
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,reconcile_full,1,55602,15876,153.7,1
CM4AI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,reconcile_full,2,351836,46099,414.7,2
CM4AI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,reconcile_full,2,355620,55570,510.4,2
CM4AI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,reconcile_full,1,176208,21830,197.3,1
CM4AI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,reconcile_full,1,171885,17335,159.3,1
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,reconcile_full,1,173886,16965,156.7,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,reconcile_full,1,176887,20009,179.2,1
VOICE,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,reconcile_full,1,188425,19115,160.5,1
VOICE,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,reconcile_full,1,191423,21988,203.6,1
VOICE,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,reconcile_full,1,190277,27984,259.8,1
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,reconcile_full,1,193471,22068,207.8,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,reconcile_full,1,194946,22040,207.0,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,reconcile_full,1,198563,26092,237.9,1
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report,1,316201,3698,49.1,1
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report,1,317461,5477,68.2,1
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,report,1,310511,6848,78.9,1
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,report,1,338608,6199,74.6,1
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,report,1,315378,4602,58.8,1
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report,1,85594,5501,72.1,1
CHORUS,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report,1,76811,4792,56.7,1
CHORUS,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report,1,85918,4738,64.5,1
CHORUS,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,report,1,90247,5230,63.2,1
CHORUS,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,report,1,87852,4465,55.4,1
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,report,1,94487,5367,62.1,1
CM4AI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report,1,231475,4694,63.0,1
CM4AI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report,1,242550,6204,78.5,1
CM4AI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report,1,236727,8019,97.4,1
CM4AI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,report,1,220025,3473,45.2,1
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,report,1,221196,6397,75.9,1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,report,1,229645,7798,88.5,1
VOICE,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,report,1,240806,6618,24.3,1
VOICE,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,report,1,250040,4206,53.7,1
VOICE,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,report,1,259982,6214,73.8,1
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,report,1,254287,5134,62.9,1
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,report,1,257157,5320,63.3,1
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,report,1,269065,5224,61.3,1
AI_READI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,repair_full,1,48128,31571,285.2,1
AI_READI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,repair_full,1,47620,30677,281.7,1
AI_READI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,repair_full,1,50591,33706,309.6,1
AI_READI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,repair_full,1,44869,26919,245.6,1
AI_READI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,repair_full,1,54430,35671,328.2,1
AI_READI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,repair_full,2,93882,28237,1048.3,2
CHORUS,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,repair_full,1,29024,12154,110.9,1
