# Comprehensive SSSOM Mapping - ALL D4D Attributes
# Includes mapped, recommended, novel, free text, and unmapped attributes
# Date: 2026-04-09T10:17:24.818193
# Total attributes: 284
#
# Status breakdown:
#   free_text: 55
#   mapped: 63
#   novel_d4d: 45
#   recommended: 69
#   unmapped: 52
#
d4d_schema_path	subject_id	subject_label	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	mapping_status	d4d_description
Dataset.access_details	d4d:access_details	Access Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Information on how to access or retrieve the raw source data.
"
Dataset.access_url	d4d:access_url	Access Url	skos:closeMatch	@graph[?@type='Dataset']['accessURL']	dcat:accessURL	accessURL	semapv:SuggestedMapping	0.5	Recommended mapping (confidence: medium)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://www.w3.org/ns/dcat#	d4d-rocrate-comprehensive-v1	1.0	recommended	URL or access point for the raw data.
Dataset.access_urls	d4d:access_urls	Access Urls	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	One or more URLs providing access to the distribution channel(s) or format(s).
Dataset.acquisition_details	d4d:acquisition_details	Acquisition Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of how data was acquired for each instance, including instruments, protocols, ...
Dataset.acquisition_methods	d4d:acquisition_methods	Acquisition Methods	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-comprehensive-v1	1.0	mapped	Methods used to acquire or obtain dataset instances. List of InstanceAcquisition objects from the Co...
Dataset.addressing_gaps	d4d:addressing_gaps	Addressing Gaps	skos:exactMatch	@graph[?@type='Dataset']['d4d:addressing_gaps']	d4d:addressing_gaps	addressing_gaps	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Research or practical gaps this dataset addresses. List of AddressingGap objects from the Motivation...
Dataset.affected_subsets	d4d:affected_subsets	Affected Subsets	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"One or more specific subsets or features of the dataset affected by this bias (e.g., ""female partici..."
Dataset.affiliation	d4d:affiliation	Affiliation	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The organization(s) to which the person belongs in the context of this dataset. May vary across data...
Dataset.affiliations	d4d:affiliations	Affiliations	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Organizations with which the creator or team is affiliated.
Dataset.agreement_metric	d4d:agreement_metric	Agreement Metric	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Type of agreement metric used (Cohen's kappa, Fleiss' kappa, Krippendorff's alpha, percentage agreem...
