# SSSOM (Simple Standard for Sharing Ontology Mappings)
# Generated from D4D SKOS alignment
# Date: 2026-03-19T21:34:44.934189
# Subset: False
# Total mappings: 95
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	in_rocrate_json	in_pydantic_model	in_interface_mapping
d4d:Dataset	Dataset	skos:exactMatch	schema:Dataset	Dataset	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:title	Title	skos:exactMatch	schema:name	name	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:description	Description	skos:exactMatch	schema:description	description	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:doi	Doi	skos:exactMatch	schema:identifier	identifier	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:keywords	Keywords	skos:exactMatch	schema:keywords	keywords	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:language	Language	skos:exactMatch	schema:inLanguage	inLanguage	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:license	License	skos:exactMatch	schema:license	license	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:publisher	Publisher	skos:exactMatch	schema:publisher	publisher	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:version	Version	skos:exactMatch	schema:version	version	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:page	Page	skos:exactMatch	schema:url	url	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
