# Comprehensive URI-level SSSOM - ALL D4D Attributes
# Shows current and recommended slot_uri for every attribute
# Date: 2026-04-09T10:17:21.922299
# Total attributes: 284
#
# Status breakdown:
#   free_text: 55
#   mapped: 63
#   novel_d4d: 45
#   recommended: 69
#   unmapped: 52
#
# Current slot_uri coverage: 31/284 (10.9%)
# Attributes needing slot_uri: 114/284 (40.1%)
#
d4d_slot_name	d4d_slot_uri_current	subject_source	predicate_id	d4d_slot_uri_recommended	object_id	object_label	object_source	confidence	mapping_justification	comment	mapping_status	needs_slot_uri	vocab_crosswalk	author_id	mapping_date	mapping_set_id	mapping_set_version
access_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
access_url			skos:closeMatch	dcat:accessURL	dcat:accessURL	accessURL	https://www.w3.org/ns/dcat#	0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: medium)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
access_urls			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
acquisition_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
acquisition_methods			skos:exactMatch	rai:dataCollection	rai:dataCollection	dataCollection	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
addressing_gaps			skos:exactMatch	d4d:addressing_gaps	d4d:addressing_gaps	addressing_gaps	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
affected_subsets			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
affiliation			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
affiliations			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
agreement_metric			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
analysis_method			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
annotation_analyses			skos:exactMatch	d4d:annotation_analyses	d4d:annotation_analyses	annotation_analyses	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
annotation_quality_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
annotations_per_item			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
annotator_demographics			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
anomalies			skos:exactMatch	d4d:dataAnomalies	d4d:dataAnomalies	dataAnomalies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
anomaly_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
anonymization_method			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
archival			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
assent_procedures			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
at_risk_groups_included			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
at_risk_populations			skos:exactMatch	d4d:atRiskPopulations	d4d:atRiskPopulations	atRiskPopulations	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
bias_description			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
bias_type			semapv:UnmappedProperty					0.5	semapv:SuggestedMapping	Recommended slot_uri (confidence: low)	recommended	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
bytes	dcat:byteSize	https://www.w3.org/ns/dcat#	skos:exactMatch	schema:contentSize	schema:contentSize	contentSize	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	true	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
categories			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
citation			skos:exactMatch	schema:citation	schema:citation	citation	https://schema.org/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
cleaning_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
cleaning_strategies			skos:exactMatch	d4d:cleaning_strategies	d4d:cleaning_strategies	cleaning_strategies	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collection_consents			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collection_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collection_mechanisms			skos:exactMatch	rai:dataCollection	rai:dataCollection	dataCollection	http://mlcommons.org/croissant/RAI/	1.0	semapv:ManualMappingCuration	Has SKOS alignment to RO-Crate vocabulary	mapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collection_notifications			semapv:UnmappedProperty					0.0	semapv:RequiresResearch	Unmapped - needs vocabulary research for slot_uri	unmapped	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collection_timeframes			skos:exactMatch	d4d:collection_timeframes	d4d:collection_timeframes	collection_timeframes	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collection_type			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
collector_details			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
comment_prefix			semapv:UnmappableProperty					0.0	semapv:FreeTextProperty	Free text/narrative field - no slot_uri needed	free_text	no	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
compensation_amount			skos:exactMatch	d4d:compensation_amount	d4d:compensation_amount	compensation_amount	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
compensation_provided			skos:exactMatch	d4d:compensation_provided	d4d:compensation_provided	compensation_provided	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
compensation_rationale			skos:exactMatch	d4d:compensation_rationale	d4d:compensation_rationale	compensation_rationale	https://w3id.org/bridge2ai/data-sheets-schema/	1.0	semapv:ManualMappingCuration	Novel D4D concept - should use d4d: namespace	novel_d4d	yes	N/A	https://orcid.org/0000-0000-0000-0000	2026-04-09	d4d-rocrate-uri-comprehensive-v1	1.0
